TIMESTAMP_START,TIMESTAMP_MID,TIMESTAMP_END,incomingShortwaveRadiation_43m,outgoingShortwaveRadiation_43m,incomingLongwaveRadiation_43m,outgoingLongwaveRadiation_43m,airPressure_43m,airTemperature_2m,airTemperature_43m,relHumidity_2m,relHumidity_43m,VaporPressure_43m,VaporPressureDeficit_43m,Precipitation_43m,belowcanopyPrecipitation_1m,WindVelocity_I_43m,WindVelocity_II_43m,WindDirection_43m,soilTemperature_1_5cm,soilTemperature_2_5cm,soilTemperature_3_5cm,soilTemperature_1_15cm,soilTemperature_2_15cm,soilTemperature_3_15cm,soilTemperature_1_30cm,soilTemperature_2_30cm,soilTemperature_3_30cm,soilMoisture_1_5cm,soilMoisture_2_5cm,soilMoisture_3_5cm,soilMoisture_1_15cm,soilMoisture_2_15cm,soilMoisture_3_15cm,soilMoisture_1_30cm,soilMoisture_2_30cm,soilMoisture_3_30cm
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,ms-1,deg,degC,degC,degC,degC,degC,degC,degC,degC,degC,%,%,%,%,%,%,%,%,%
2024-06-06 13:30:00,2024-06-06 13:45:00,2024-06-06 14:00:00,685.1666666666666,111.63333333333333,325.34011972220117,409.15878638886784,959.0,16.80333333333333,17.423333333333336,59.77,47.276666666666664,9.424217199787769,10.50996569477848,0.0,0.0,3.902666666666667,3.7076666666666664,242.8697779634576,11.906666666666666,12.416666666666666,12.420000000000002,12.106666666666667,12.08,12.033333333333331,11.85,11.916666666666666,11.866666666666667,39.44,36.54666666666666,38.25,36.88666666666666,33.27,34.07,15.17,40.46333333333333,41.35
2024-06-06 14:00:00,2024-06-06 14:15:00,2024-06-06 14:30:00,662.0,108.70333333333333,336.9838139884711,409.59781398847116,959.0,17.28333333333333,17.656666666666666,54.473333333333336,46.166666666666664,9.339513597500973,10.890479754486693,0.0,0.0,4.033666666666666,3.7746666666666666,239.49599853952196,11.996666666666668,12.503333333333332,12.530000000000001,12.15,12.096666666666666,12.056666666666667,11.839999999999998,11.896666666666667,11.87,39.39666666666667,36.51,38.21,36.873333333333335,33.26,34.056666666666665,15.17,40.48666666666667,41.38333333333333
2024-06-06 14:30:00,2024-06-06 14:45:00,2024-06-06 15:00:00,634.4666666666667,102.3,327.83401018087017,412.38267684753686,959.0,17.30666666666667,18.236666666666668,58.873333333333335,44.85333333333333,9.411115159731349,11.570859780216665,0.0,0.0,3.0410000000000004,2.840666666666667,249.42841825821412,12.083333333333334,12.589999999999998,12.626666666666665,12.200000000000001,12.106666666666667,12.086666666666666,11.839999999999998,11.896666666666667,11.866666666666665,39.376666666666665,36.48333333333333,38.17666666666667,36.88,33.23333333333333,34.059999999999995,15.163333333333334,40.553333333333335,41.419999999999995
2024-06-06 15:00:00,2024-06-06 15:15:00,2024-06-06 15:30:00,272.59999999999997,46.47333333333333,352.05695973097346,404.29829306430685,959.0,16.776666666666667,17.61666666666667,60.160000000000004,45.75,9.23189805936758,10.947114092255546,0.0,0.0,3.231666666666667,3.0853333333333333,264.6667319539075,12.183333333333332,12.673333333333332,12.716666666666667,12.246666666666664,12.14,12.133333333333335,11.836666666666666,11.896666666666667,11.87,39.35666666666666,36.47666666666667,38.14333333333333,36.88,33.22666666666667,34.053333333333335,15.17,40.57,41.446666666666665
2024-06-06 15:30:00,2024-06-06 15:45:00,2024-06-06 16:00:00,123.87666666666667,23.13333333333333,356.58863782401414,397.15830449068085,959.0,16.029999999999998,16.94333333333333,68.08333333333333,51.416666666666664,9.942710867325243,9.394814320341357,0.0,0.0,3.079,2.890333333333333,313.23606472688255,12.253333333333336,12.753333333333332,12.799999999999999,12.290000000000001,12.163333333333334,12.163333333333334,11.846666666666666,11.896666666666667,11.866666666666665,39.336666666666666,36.43,38.126666666666665,36.88333333333333,33.22,34.093333333333334,15.156666666666666,40.67333333333334,41.6
2024-06-06 16:00:00,2024-06-06 16:15:00,2024-06-06 16:30:00,500.4666666666667,86.82333333333334,325.0546338385166,404.4883005051833,959.0,15.589999999999998,17.13666666666667,77.16666666666667,51.74,10.128591565130398,9.447348839064416,0.0,0.0,2.9196666666666666,2.8123333333333336,298.74414979432834,12.323333333333332,12.82,12.853333333333333,12.33,12.186666666666667,12.193333333333333,11.843333333333334,11.886666666666668,11.86,39.28,36.379999999999995,38.06,36.85,33.20666666666667,34.02,15.146666666666667,40.57,41.449999999999996
2024-06-06 16:30:00,2024-06-06 16:45:00,2024-06-06 17:00:00,477.06666666666666,81.17999999999999,312.81786047249585,407.55786047249586,959.0,16.316666666666666,18.27,72.58999999999999,47.583333333333336,10.004835868920459,11.021088899388737,0.0,0.0,2.8939999999999997,2.831,295.7613401897556,12.366666666666665,12.853333333333332,12.893333333333333,12.38,12.206666666666665,12.219999999999999,11.846666666666666,11.876666666666667,11.856666666666667,39.22333333333333,36.34666666666667,38.03666666666667,36.79666666666666,33.18666666666667,34.00333333333333,15.15,40.51,41.35666666666666
2024-06-06 17:00:00,2024-06-06 17:15:00,2024-06-06 17:30:00,212.4,36.44,332.6144537045672,401.1674537045672,959.0,16.406666666666666,17.55666666666667,68.31,47.85333333333333,9.619836406117264,10.482914512210817,0.0,0.0,3.832666666666667,3.7279999999999998,294.0905385583657,12.410000000000002,12.903333333333334,12.933333333333332,12.416666666666666,12.243333333333334,12.26,11.85,11.876666666666667,11.86,39.163333333333334,36.28666666666667,38.00333333333334,36.76666666666666,33.18,33.98,15.15,40.49,41.29
2024-06-06 17:30:00,2024-06-06 17:45:00,2024-06-06 18:00:00,195.5666666666667,38.5,338.07386603698166,398.32819937031496,959.0,15.906666666666666,16.83,69.03666666666666,50.123333333333335,9.62315285457571,9.575795448760815,0.0,0.0,3.8546666666666667,3.689333333333334,308.4412850087923,12.456666666666665,12.950000000000001,12.976666666666667,12.453333333333333,12.263333333333334,12.286666666666667,11.843333333333334,11.88,11.86,39.13,36.26666666666667,37.97,36.76,33.15333333333333,33.97333333333333,15.15,40.46,41.28333333333333
2024-06-06 18:00:00,2024-06-06 18:15:00,2024-06-06 18:30:00,111.73333333333333,19.9,304.2743836636657,393.39071699699906,959.0,15.586666666666666,16.706666666666667,71.06,50.98333333333333,9.71188222972828,9.337249309457624,0.0,0.0,3.382,3.219666666666667,313.966616600867,12.49,12.986666666666666,13.01,12.493333333333334,12.296666666666667,12.32,11.846666666666666,11.873333333333333,11.853333333333333,39.11333333333334,36.24,37.93,36.73,33.14,33.946666666666665,15.136666666666668,40.43,41.26
