,H_orig,LE_orig,ET_orig,CO2,H2O,NEE_orig,Reco,GPP_f,Ustar,location,date,year,month,day
5807,0.1273406836387418,0.15427576784143443,0.15215463551139874,0.38981312670920687,0.3318590797723751,0.6229957774867955,0.3258425965115501,0.3969436888119518,0.330999934942424,1,2023-06-12 23:30:00,2023,6,12
5808,0.12876787496760034,0.14554455445544556,0.14348225594332806,0.38776207839562415,0.32120478738335084,0.6271300151539673,0.3241977233743958,0.3925868815733966,0.3436601392232125,1,2023-06-13 00:00:00,2023,6,13
5809,0.10196454737943024,0.13217410020775236,0.13020639856390848,0.37397447584320886,0.31608253142708914,0.6488266709823597,0.32717382103316917,0.3716214450925913,0.4068765857784139,1,2023-06-13 00:30:00,2023,6,13
5810,0.15877918362884755,0.12591046061127853,0.12398099128634664,0.38394484958979014,0.32398309901402716,0.6081434183230591,0.3138250428816466,0.40966789345824306,0.23975017890833383,1,2023-06-13 01:00:00,2023,6,13
5811,0.15213698337730605,0.12829605644874506,0.1263410927836847,0.3957953509571559,0.33519059504632764,0.6246597713663582,0.2947022788532223,0.39021427636268424,0.22978335827207078,1,2023-06-13 01:30:00,2023,6,13
5812,0.11210568505151346,0.14541541110632802,0.14330862742568165,0.407474931631723,0.3422347214373787,0.6723476879165502,0.28279967031253483,0.34112127780283086,0.268642248389825,1,2023-06-13 02:00:00,2023,6,13
5813,0.1334936853486659,0.13202436878848567,0.13003156008435945,0.41049453053783,0.3378582659483488,0.6506628021598082,0.28089550243924166,0.36225026548157635,0.232405178583046,1,2023-06-13 02:30:00,2023,6,13
5814,0.1762093633509192,0.12613655505437124,0.12419271287311183,0.41123518687329064,0.3356290601561837,0.6136268004531478,0.27506716268294307,0.3979183335030476,0.15620323986728255,1,2023-06-13 03:00:00,2023,6,13
5815,0.20054285466813168,0.12038181511913007,0.11848896672755845,0.4062215132178668,0.3320967524487456,0.5917565360679133,0.2742741306720723,0.4194128856756325,0.11228287034025114,1,2023-06-13 03:30:00,2023,6,13
5816,0.1937940882886583,0.12684815362443616,0.12490866504248438,0.3700432999088421,0.338395078372565,0.5861870852888817,0.30148314806976895,0.42936153499265384,0.08584347147225295,1,2023-06-13 04:30:00,2023,6,13
5817,0.2044550156313208,0.1362147897209381,0.13419711512821372,0.3818368277119415,0.33632158916147026,0.5530712530712532,0.29270544207079363,0.46067090467393046,0.10197775030902348,1,2023-06-13 05:00:00,2023,6,13
5818,0.21367024449870614,0.13709595912332254,0.13507412827292284,0.3787032816773017,0.3429764240998454,0.556940664126293,0.2957234189481187,0.4573382017078103,0.07223993234012102,1,2023-06-13 05:30:00,2023,6,13
5819,0.27803407715517425,0.2007842183084093,0.19835564923598636,0.3594462169553325,0.35458550499911684,0.46145890038105614,0.3214720099797287,0.5559547881238818,0.14319823043393404,1,2023-06-13 06:30:00,2023,6,13
5820,0.31593522077030606,0.1980123154092347,0.19564358929364573,0.352894257064722,0.37057104138741825,0.46085127043210883,0.333263237620013,0.5584714079979053,0.15285277470561445,1,2023-06-13 07:00:00,2023,6,13
5821,0.46601659706617127,0.332647064328361,0.32961408045040064,0.350729261622607,0.3784429243410012,0.4084509114449235,0.35217304136686634,0.6133715432844072,0.25423850107345003,1,2023-06-13 07:30:00,2023,6,13
5822,0.43797153889598794,0.2937655580302832,0.2910341724054876,0.3428669097538739,0.37591457880099044,0.42938692639291454,0.3643385088325054,0.5946641839896426,0.23719341617331338,1,2023-06-13 08:00:00,2023,6,13
5823,0.508744423931411,0.49052012951767765,0.4871972455422233,0.33238377392889706,0.3839626673594688,0.4114228545366271,0.3885322224944866,0.6163682120361347,0.2520785895517533,1,2023-06-13 08:30:00,2023,6,13
5824,0.5870826930444597,0.6082090250612964,0.6044511454625294,0.3339790337283497,0.3639244020585731,0.30546278450470077,0.3890695239580316,0.7212370714109073,0.3432502764946978,1,2023-06-13 09:00:00,2023,6,13
5825,0.7066028502627496,0.5507495929177039,0.5473289669239279,0.3412146763901549,0.32660569406363316,0.3411113890155807,0.39515983159207857,0.6869790378656737,0.3731507384034871,1,2023-06-13 09:30:00,2023,6,13
5826,0.761137620178856,0.5583110295906718,0.5550310232551501,0.34212625341841374,0.314287692940015,0.31158322176286257,0.4041059455124635,0.717629431360284,0.5447791295296337,1,2023-06-13 10:00:00,2023,6,13
5827,0.7291298267400205,0.43803926706470275,0.4352462660204168,0.3430378304466726,0.3198811964442528,0.3802468772528654,0.411545298612194,0.6509462781665043,0.4408951922451369,1,2023-06-13 10:30:00,2023,6,13
5828,0.6982324620863021,0.4519642890565049,0.449308958906835,0.33939152233363723,0.31262398420542126,0.3454074651679443,0.42443162326524253,0.6874881806147536,0.36857719081387025,1,2023-06-13 11:00:00,2023,6,13
5829,0.8076398668264023,0.48408167848921,0.4812770929787549,0.3363149498632634,0.31447209415444044,0.22616192676072927,0.41854447439353104,0.8044455435462521,0.4022184633400559,1,2023-06-13 11:30:00,2023,6,13
5830,0.8856482188858537,0.5013195081322878,0.49860216319323614,0.3347766636280767,0.32456908509542354,0.24952551898659692,0.4266031052995032,0.782654233885632,0.4229523127968252,1,2023-06-13 12:00:00,2023,6,13
5831,0.5760773478691479,0.3780531172209849,0.3756102367303006,0.3350045578851413,0.3273228098975098,0.338948638349836,0.4261228308569647,0.6941652240955444,0.33086331403291913,1,2023-06-13 12:30:00,2023,6,13
5832,0.5749417779122966,0.39070542214902027,0.3882331750373701,0.33021877848678205,0.33918185688744673,0.30321175830157876,0.4252326747009423,0.7293542615248099,0.22116973521566585,1,2023-06-13 13:00:00,2023,6,13
5833,0.5993752662125685,0.3686949035168168,0.366375557999416,0.33403600729261607,0.3369362598762216,0.3580750047815917,0.43519458243300435,0.6767379951413235,0.3379610955695791,1,2023-06-13 13:30:00,2023,6,13
5834,0.6358551063990608,0.44786539145407933,0.44544592611875233,0.3364288969917957,0.32479446435749904,0.3267371890126382,0.4376708026107683,0.7081157354203338,0.3075206557803656,1,2023-06-13 14:00:00,2023,6,13
5835,0.7320335509747801,0.5076643770237137,0.5053869319560815,0.3380811303555151,0.3260770772489469,0.32979740764171905,0.4529308770132098,0.707577498799878,0.31441025307397047,1,2023-06-13 14:30:00,2023,6,13
5836,0.49179408374702727,0.3510453124707556,0.3488510506083031,0.3407019143117589,0.31543917607898264,0.4103341229089733,0.4432799447550734,0.6263910507251649,0.3480645371153471,1,2023-06-13 15:00:00,2023,6,13
5837,0.4352760808838534,0.3706601283946921,0.36839734703060945,0.33956244302643546,0.30603881194805127,0.35826626844590925,0.4383150297387004,0.6770580277264595,0.3984060893891094,1,2023-06-13 15:30:00,2023,6,13
5838,0.4589488459877772,0.39527223043665427,0.3930423767989877,0.34110072926162216,0.30394483371313147,0.37612735217525645,0.44416386358067317,0.6603581455566385,0.3784204020558194,1,2023-06-13 16:00:00,2023,6,13
5839,0.36323802720631626,0.3354358120122032,0.3331898865910785,0.3399042844120328,0.3159432060650788,0.3934293575012139,0.43238421955403084,0.64131620674105,0.3865786220805413,1,2023-06-13 16:30:00,2023,6,13
5840,0.2898709625305709,0.35087686462408063,0.34854452613213494,0.34594348222424776,0.30085918672507944,0.49363974753196316,0.42510971018689714,0.5410441790436845,0.40533472122828695,1,2023-06-13 17:00:00,2023,6,13
