H_f,LE_f,H_orig,location,day,year,month,date,30min,LE_orig,waterVaporPressure,soilHeatflux,incomingShortwaveRadiation,airPressure,relativeHumidity,waterPressureDeficit,windSpeed,outgoingShortwaveRadiation
-14.266670000000001,2.6019349999999997,-14.266670000000001,0,17,2023,2,2023-02-17 06:00:00,12,2.6019,9.915268019672085,4.910666666666667,-0.5296666666666666,989.3993333333334,91.60799999999999,0.9083150949817504,1.832,-0.16966666666666666
-14.52554,2.70638,-14.52554,0,17,2023,2,2023-02-17 06:30:00,13,2.7064,9.963029267115125,4.960333333333334,-0.536,989.2886666666667,91.34566666666666,0.9439241009867647,2.010666666666667,-0.15533333333333335
-17.427570000000003,1.7335770000000001,-17.427570000000003,0,17,2023,2,2023-02-17 07:00:00,14,1.7336,9.97376239154364,5.051333333333333,-0.5106666666666667,988.9793333333333,90.98266666666666,0.9885041114645983,1.7873333333333334,-0.04533333333333334
-17.40576,4.233333,-17.40576,0,17,2023,2,2023-02-17 07:30:00,15,4.2333,9.971008045237724,4.966666666666667,6.247333333333334,989.0169999999999,90.49066666666666,1.0478167822631512,2.2306666666666666,1.3406666666666667
-18.19727,6.4508980000000005,-18.19727,0,17,2023,2,2023-02-17 08:00:00,16,6.4509,9.980500806169283,5.328333333333333,24.31233333333333,988.9716666666667,89.399,1.1834952185841061,2.2133333333333334,5.092
-11.8483,11.35474,-11.8483,0,17,2023,2,2023-02-17 08:30:00,17,11.355,10.046583868525522,5.834333333333333,44.458,988.8216666666667,87.63166666666666,1.417974835739134,2.1999999999999997,8.931666666666667
-11.4887,12.67782,-11.4887,0,17,2023,2,2023-02-17 09:00:00,18,12.677999999999999,10.100626483395379,6.626666666666666,22.545333333333335,988.7886666666667,86.168,1.621389210824491,2.302,4.407000000000001
-10.09753,13.5285,-10.09753,0,17,2023,2,2023-02-17 09:30:00,19,13.527999999999999,10.23128221953118,7.026666666666666,32.63033333333333,988.634,86.13866666666667,1.6464059493877485,2.0706666666666664,6.001
-10.78767,15.03403,-10.78767,0,17,2023,2,2023-02-17 10:00:00,20,15.034,10.348687134850106,7.6723333333333334,35.81666666666667,988.6003333333334,85.71566666666666,1.724586675285856,2.465333333333333,6.584333333333333
-9.313255,10.63583,-9.31325,0,17,2023,2,2023-02-17 10:30:00,21,10.636,10.445683788752516,8.24,29.912666666666667,988.3973333333333,85.45033333333333,1.7785912740549428,2.2023333333333333,5.234666666666667
-12.24297,15.095620000000002,-12.24297,0,17,2023,2,2023-02-17 11:00:00,22,15.095999999999998,10.572056206380545,8.790000000000001,46.580999999999996,988.237,84.31466666666667,1.9667542098149884,2.940666666666667,8.537666666666667
-8.806869,19.51933,-8.80687,0,17,2023,2,2023-02-17 11:30:00,23,19.519000000000002,10.701573528925524,9.863666666666667,64.985,988.2453333333333,83.56566666666667,2.1046110631424177,3.077666666666667,11.985333333333335
-8.427176,14.047070000000001,-8.42718,0,17,2023,2,2023-02-17 12:00:00,24,14.047,10.875773840517251,10.992666666666667,71.25566666666667,988.0300000000001,83.04299999999999,2.220783172737633,2.7870000000000004,13.84233333333333
72.82918000000001,69.27332,72.82918000000001,0,17,2023,2,2023-02-17 13:30:00,27,69.273,11.657963981687303,16.200999999999997,384.8076666666666,986.5366666666667,71.784,4.5823736725076465,3.1986666666666665,84.06366666666666
22.77151,49.04996,22.77151,0,17,2023,2,2023-02-17 14:00:00,28,49.05,11.635916255746457,21.937,230.75966666666667,986.1033333333335,70.87266666666666,4.782142783111668,3.2456666666666667,48.448
-7.758422,43.58912,-7.75842,0,17,2023,2,2023-02-17 14:30:00,29,43.589,11.549133611648365,22.474,109.04433333333333,986.0083333333333,70.682,4.790434611730095,3.287333333333333,21.697666666666667
-40.69722,40.1798,-40.69722,0,17,2023,2,2023-02-17 15:00:00,30,40.18,11.196862736638913,20.412000000000003,21.309666666666665,986.4023333333334,69.815,4.841041347925884,3.8219999999999996,3.8179999999999996
-38.99391,26.12395,-38.99391,0,17,2023,2,2023-02-17 15:30:00,31,26.124000000000002,11.720079447191537,18.188666666666666,5.411666666666666,986.962,79.19133333333333,3.079620158646902,3.317,2.893333333333333
-49.50613,271.3272,-49.50613,0,17,2023,2,2023-02-17 16:00:00,32,271.33,12.0780892784187,16.368666666666666,5.268666666666667,987.0746666666668,85.647,2.024085086612999,3.4933333333333336,3.021333333333333
-31.08043,30.3073,-31.08043,0,17,2023,2,2023-02-17 16:30:00,33,30.307,12.077621170271772,15.533,7.197333333333333,987.352,86.04966666666667,1.9580185226247018,4.373,1.5430000000000001
-23.85239,114.0832,-23.85239,0,18,2023,2,2023-02-18 01:30:00,3,114.08,8.12554745688205,1.3426666666666665,-1.2483333333333333,991.6693333333333,78.95266666666667,2.166121969798132,1.5033333333333332,0.3623333333333334
-14.754529999999999,10.03547,-14.754529999999999,0,18,2023,2,2023-02-18 02:00:00,4,10.035,8.367849116130708,0.8813333333333334,-0.9073333333333333,991.5366666666667,81.56200000000001,1.8916456438441678,1.3166666666666667,0.14900000000000002
-9.630774,6.451503,-9.63077,0,18,2023,2,2023-02-18 02:30:00,5,6.4515,8.792258768841732,0.757,-0.7473333333333333,991.61,84.69066666666667,1.5893560122145018,1.1476666666666668,-0.007666666666666666
-7.171411,4.619133000000001,-7.171410000000001,0,18,2023,2,2023-02-18 03:00:00,6,4.6191,9.275434599642743,0.9193333333333333,-1.0183333333333333,991.2980000000001,89.37133333333334,1.1030998293420264,0.9313333333333335,-0.07766666666666668
-7.307974000000001,1.717412,-7.30797,0,18,2023,2,2023-02-18 03:30:00,7,1.7174,9.605281303814651,1.0686666666666664,-0.5956666666666667,991.0163333333334,91.85733333333333,0.8514573748043492,0.8653333333333334,-0.06866666666666667
-9.446023,9.833591,-9.446019999999999,0,18,2023,2,2023-02-18 04:00:00,8,9.8336,9.914146041772286,1.3219999999999998,-0.6973333333333334,990.6926666666667,93.139,0.7303165805151401,1.1059999999999999,-0.006666666666666668
-26.401490000000003,59.7007,-26.401490000000003,0,18,2023,2,2023-02-18 07:00:00,14,59.701,11.093701473562612,4.355666666666667,-0.6253333333333334,988.6970000000001,97.02966666666669,0.33960738410216784,1.950333333333333,1.0359999999999998
