year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,day_of_year,H_orig,LE_orig
2023,7,23,22,0,375.43700000000007,43.135333333333335,13.737641916926496,2.925333333333333,204,204,17.59062,186.42
2024,5,11,36,0,121.53633333333333,16.80666666666667,13.162467923527231,1.0813333333333333,132,132,-5.98625,27.837
2023,7,29,14,1,46.836666666666666,-54.716841510129846,0.8101994901981442,3.272,210,210,-5.31769,24.203000000000003
2024,5,3,16,1,135.5,-5.076746936483309,0.666557811735224,3.0273333333333334,124,124,11.702580000000001,39.400999999999996
2023,5,29,36,1,227.0,-36.45121581173663,9.28755467976686,3.5403333333333333,149,149,49.047290000000004,57.089
2024,4,7,9,1,-1.8539999999999999,-8.359153294737904,13.604538971600567,5.786666666666668,98,98,-92.91721,25.664
2023,5,31,34,1,382.06666666666666,-38.08637320756443,13.820685275375016,3.173666666666667,151,151,89.8947,91.81299999999999
2023,7,12,31,0,565.8556666666667,30.36466666666667,18.23903743727942,2.6376666666666666,193,193,42.92028,175.42
2024,6,25,33,1,475.4666666666667,-15.742894728213486,14.758101881821595,3.1650000000000005,177,177,108.7748,194.13
2023,5,26,18,0,719.4490000000001,9.408666666666667,3.440639907262902,1.6579999999999997,146,146,104.4282,66.568
2024,4,17,43,1,-0.6143333333333333,12.44104081645854,0.2894385918067677,1.6353333333333333,108,108,-13.04733,3.5698
2023,7,7,27,0,883.293,79.817,23.19176512544834,1.2286666666666666,188,188,69.19373,214.35
2024,4,10,8,1,-1.57,7.544898180233456,1.9918507566173265,4.6419999999999995,101,101,-32.34179,3.0737
2024,4,25,7,1,0.05466666666666666,12.48602710799503,0.2676197785987062,4.2266666666666675,116,116,-57.41256,9.3688
2023,6,10,19,0,744.2249999999999,18.531000000000002,11.083921525323806,1.4693333333333332,161,161,113.7471,104.26
2023,6,6,26,1,149.16666666666666,-36.040038420911166,8.523222412982625,1.1203333333333332,157,157,20.666539999999998,21.66
2024,4,4,28,0,166.83700000000002,27.291666666666668,3.8141165648828768,3.1189999999999998,95,95,-29.08507,77.169
2024,6,17,23,1,835.9666666666667,-6.091511013803724,5.8906272615664825,3.789,169,169,194.7484,161.26
2024,5,15,9,0,5.816333333333334,-22.153666666666666,5.41376471722862,2.2453333333333334,136,136,-51.68472,14.35
2024,4,14,23,0,479.24800000000005,16.593333333333334,7.9621932826613655,3.2243333333333335,105,105,39.33996,143.66
2024,4,12,0,1,-0.819,0.27031181898626255,2.4996079967152696,1.977,103,103,-8.27092,-4.8437
2024,4,2,45,1,0.48166666666666663,1.4627821126225855,1.3828013646355064,5.603333333333333,93,93,-88.39024,72.408
2024,5,9,41,1,-2.359666666666666,-7.64063764724191,8.380213476493914,2.784333333333333,130,130,-49.38595,6.5042
2024,4,26,2,1,-1.165333333333333,9.12672509252332,1.936302199996434,3.368,117,117,-26.259059999999998,5.4669
2023,7,27,3,1,-1.8739999999999999,-40.370354342593515,2.949968774761171,3.749,208,208,-49.84016,0.25017
2023,7,6,15,0,481.4579999999999,9.078333333333333,5.895366175349041,1.3839999999999997,187,187,82.32188000000001,98.60799999999999
2023,5,19,27,1,521.5666666666667,-31.505725831728427,8.685471295414699,2.7536666666666663,139,139,178.8007,88.023
2024,4,9,26,0,46.00999999999999,6.515333333333334,3.5231979911070113,3.731333333333333,100,100,-13.22959,64.018
2024,4,24,35,0,69.097,1.1019999999999999,2.9206759556306654,1.4766666666666666,115,115,-2.15555,25.646
2023,7,24,25,1,552.1333333333333,-47.70222179835915,10.889314263011816,5.258,205,205,72.93845,133.45
2023,6,18,25,0,739.9656666666666,43.60566666666667,25.486444882013686,1.6603333333333332,169,169,122.8601,278.85
2023,5,21,35,0,269.6813333333333,22.198999999999998,16.234602424962098,3.655666666666667,141,141,-29.64593,84.255
2024,5,12,43,1,-2.2613333333333334,-7.858635089838356,6.451582176395702,3.3706666666666667,133,133,-53.76375,2.1436
2023,5,27,12,1,213.73333333333335,-31.953736959254044,2.6378717851013036,2.4066666666666667,147,147,30.614959999999996,21.096999999999998
2024,5,30,9,1,8.487,1.9850386586918976,0.7195622040981515,1.9670000000000003,151,151,-10.51193,10.509
2023,7,12,37,0,184.843,-12.699999999999998,16.93808853152975,1.4409999999999998,193,193,-21.75093,83.285
2023,7,15,35,0,54.74700000000001,1.0983333333333332,8.88787635541318,1.453,196,196,-31.012970000000003,60.468
2024,5,11,35,1,216.4,-12.027775617835896,10.119935895130812,2.919,132,132,37.155229999999996,42.25
2024,5,12,17,0,608.1256666666667,18.720666666666666,7.177291644620016,2.2560000000000002,133,133,104.2776,116.49
2023,6,30,20,1,127.06666666666666,-26.76502853317665,0.7009720451120334,4.11,181,181,15.326620000000002,42.81100000000001
2024,4,9,7,1,-0.9879999999999999,-9.226200918934733,12.858557429999765,2.9983333333333335,100,100,-32.13884,10.515999999999998
2023,5,25,30,0,596.1186666666666,37.36033333333333,8.356448428845475,1.5543333333333333,145,145,90.7315,92.63
2024,4,13,42,0,-4.578,0.06966666666666667,8.242116546230054,1.4753333333333334,104,104,-49.80592,14.855
2024,5,13,17,1,568.3,-2.760439366930358,5.811145579467219,2.289333333333333,134,134,198.6508,70.07300000000001
2023,6,11,23,1,893.3333333333334,-24.490816660337202,18.955718925920436,3.585333333333333,162,162,323.4545,290.08
2023,6,5,37,1,149.93333333333334,-40.76438125090836,16.857975528445785,1.888,156,156,12.454939999999999,60.088
2023,3,15,7,0,-0.7436666666666666,-14.857999999999999,1.6139086762849209,1.0156666666666665,74,74,-15.312220000000002,8.896
2024,4,3,25,1,325.43333333333334,-2.998995022358368,2.2965039654275987,3.9303333333333335,94,94,120.8587,83.434
2023,5,29,19,0,738.2933333333334,18.267666666666667,7.665205587196155,1.7286666666666666,149,149,111.9355,92.897
2024,6,17,19,0,426.03933333333333,39.793,7.823891460248214,1.7113333333333334,169,169,60.12225,119.28
2024,6,4,21,1,267.8,2.2104414487569586,6.791468336873752,0.9746666666666668,156,156,120.0592,61.356
2024,6,10,11,1,157.41666666666666,5.503558793223998,3.1174654364676613,1.6643333333333334,162,162,5.2531,19.067999999999998
2023,3,6,12,0,-0.7623333333333333,-6.880666666666667,0.38412315146834786,0.9856666666666666,65,65,-4.270569999999999,3.1505
2023,5,24,19,1,334.4,-29.686399752399883,2.4323952944266587,2.285,144,144,128.7611,60.65
2024,5,30,10,1,22.679999999999996,2.0664511110424764,0.7070864274872477,1.5810000000000002,151,151,-13.08848,9.3959
2024,5,3,3,1,-1.817,-9.383103355290022,1.6492748103828259,1.889,124,124,-7.85735,-0.9697100000000001
2023,7,3,7,0,-0.8683333333333333,-13.285333333333334,3.464751413410516,1.2573333333333332,184,184,-20.25081,18.435
2024,6,2,19,0,72.62166666666667,1.2303333333333333,0.778865994715801,0.8853333333333334,154,154,7.58529,25.531
2023,6,18,20,0,795.6653333333334,26.087333333333333,17.793457107948896,1.367,169,169,130.8342,106.82
2024,4,5,14,1,51.826666666666675,0.9211703821187928,0.7658958306062758,3.591666666666667,96,96,-6.64307,1.4436
2023,7,2,32,1,541.0333333333334,-31.697492830265436,8.686326251172268,6.285,183,183,168.8177,172.53
2023,5,11,6,1,-0.409,-28.851598207070186,0.8303471465428949,1.4576666666666667,131,131,-4.10986,1.1552
2024,4,10,3,1,-1.2433333333333334,5.464220399103609,2.6545579159377883,5.458666666666667,101,101,-26.883440000000004,3.5534
2023,7,3,7,1,-0.26266666666666666,-29.248664441399644,4.337920960587665,4.343,184,184,-31.51776,9.6988
2023,7,28,41,0,-1.5110000000000001,-6.890000000000001,4.434057807832346,1.3070000000000002,209,209,-12.73667,10.22
2023,2,17,14,0,-0.5106666666666667,5.051333333333333,0.9885041114645983,1.7873333333333334,48,48,-17.427570000000003,1.7336
2024,4,13,17,1,394.93333333333334,-2.6187861539390185,2.998907021242749,4.515,104,104,97.38456,14.602
2024,4,10,35,1,154.9333333333333,-1.7415278448316631,5.612515782295021,2.129,101,101,81.61547,12.849
2023,5,27,31,1,595.9333333333333,-36.23571312432406,10.464706416154296,2.6216666666666666,147,147,213.1818,111.42
2023,7,20,27,1,826.0,-51.63301107893853,9.343170283975567,3.5483333333333333,201,201,219.9605,134.49
2023,7,16,23,0,832.484,80.919,15.235050419884455,2.9743333333333335,197,197,134.3558,287.33
