year,month,day,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,windSpeed,day_of_year,H_orig,LE_orig,day_of_year
2024,5,2,22,0,822.6223333333332,80.14933333333333,11.616524113471055,2.655,123,113.0794,197.69,123
2024,5,2,22,1,796.1,-9.19579181934133,8.838313118839492,3.0996666666666672,123,332.2646,136.68,123
2024,5,2,23,0,843.712,87.72566666666667,11.996500807738459,2.814,123,117.29,204.05,123
2024,5,2,23,1,819.6666666666666,-10.455687142632444,8.795694961445628,3.591333333333333,123,343.6762,149.65,123
2024,5,2,24,0,824.7613333333334,87.55833333333334,11.840493543556969,3.173666666666667,123,103.5045,198.9,123
2024,5,2,24,1,847.0,-11.601829160432608,9.730554190221818,3.4263333333333335,123,260.0694,112.38,123
2024,5,2,25,0,755.9483333333334,77.57099999999998,12.454635343941591,3.359,123,88.43418,149.24,123
2024,5,2,25,1,843.3333333333334,-12.8285829145626,10.291224741260526,3.751333333333333,123,307.7474,161.48,123
2024,5,2,26,0,813.7220000000001,78.03233333333333,14.044679361473838,3.799666666666667,123,81.82423,166.99,123
2024,5,2,26,1,830.0,-14.082858117335462,11.627294374464169,3.953666666666667,123,355.3438,221.61,123
2024,5,2,27,0,793.7803333333335,74.72233333333332,14.964123800896992,4.219,123,96.45818,215.92,123
2024,5,2,27,1,794.7666666666668,-15.180599972606663,12.023118230411214,4.108333333333333,123,325.07099999999997,209.31,123
2024,5,2,28,0,740.1563333333334,71.175,15.291702316746138,3.2550000000000003,123,73.45725999999999,169.17,123
2024,5,2,28,1,554.9333333333333,-15.989601304484507,12.291836487269443,3.6266666666666665,123,222.3434,189.01,123
2024,5,2,29,0,722.926,69.78466666666667,16.230358154151347,3.7580000000000005,123,69.17808000000001,170.81,123
2024,5,2,29,1,435.86666666666673,-16.71890550693515,12.173749932042332,3.7113333333333336,123,148.6758,204.65,123
2024,5,2,30,0,631.1149999999999,63.724,16.52671194307684,3.5660000000000003,123,58.04388,154.32,123
2024,5,2,30,1,548.4666666666667,-17.09885426265848,12.13011874610784,3.717333333333333,123,127.4774,220.68,123
2024,5,2,31,0,471.76133333333337,55.407000000000004,15.763900429331642,3.581,123,24.85632,118.97,123
2024,5,2,31,1,494.23333333333335,-17.30127419534979,12.614066713109105,4.137666666666667,123,153.8655,173.86,123
2024,5,2,32,0,460.9113333333333,46.51,15.932150574014795,3.6406666666666667,123,26.13332,121.59,123
2024,5,2,32,1,486.5,-17.455614035002803,12.375692898732744,3.9130000000000003,123,153.5729,176.2,123
2024,5,2,33,0,411.54400000000004,39.114666666666665,15.809849142009474,3.398,123,13.952,115.43,123
2024,5,2,33,1,408.3,-17.49875687736803,12.417992327697077,4.163333333333333,123,90.08876,158.34,123
2024,5,2,34,0,324.6066666666666,31.798666666666666,15.270880010163705,3.6870000000000007,123,-3.28799,98.18799999999999,123
2024,5,2,34,1,322.63333333333327,-17.58740367097981,12.35017974673399,3.864333333333333,123,57.17086,118.5,123
2024,5,2,35,0,217.18933333333334,22.481666666666666,14.743938064024361,3.3636666666666666,123,-23.46126,82.205,123
2024,5,2,35,1,245.4666666666667,-17.617187800812086,11.896754995286074,3.6590000000000003,123,47.348079999999996,45.989,123
2024,5,2,36,0,140.61833333333334,13.094333333333333,13.74444339791185,3.1663333333333337,123,-34.9127,57.3,123
2024,5,2,36,1,160.0666666666667,-17.49875975843057,11.372662738934517,3.9393333333333334,123,-7.500560000000001,83.014,123
2024,5,2,37,0,53.048,5.642666666666666,12.126007407852226,3.436,123,-48.63893,37.885,123
2024,5,2,37,1,85.40999999999998,-17.163407689181476,10.526453813775499,4.0889999999999995,123,-75.18204,73.888,123
2024,5,2,38,0,15.557333333333332,-0.23466666666666658,10.565481537798455,2.5163333333333333,123,-36.12944,20.477999999999998,123
2024,5,2,38,1,24.316666666666663,-16.824558759718457,9.363146210324473,4.408666666666666,123,-59.693130000000004,28.263,123
2024,5,2,39,0,-0.13500000000000023,-3.1926666666666663,9.14595168546636,2.2680000000000002,123,-37.36568,13.752,123
2024,5,2,39,1,2.2953333333333332,-16.21666906620314,8.222495462229057,3.8200000000000003,123,-98.10246,47.588,123
2024,5,2,40,0,-3.827666666666667,-5.658666666666666,8.255975956677625,2.7093333333333334,123,-44.23966,19.089000000000002,123
2024,5,2,40,1,-0.8416666666666668,-15.628090773686738,7.823681736866348,4.0183333333333335,123,-48.04813,24.25,123
2024,5,2,41,0,-3.7473333333333336,-6.332999999999999,8.719175652676157,3.1189999999999998,123,-34.577890000000004,36.628,123
2024,5,2,42,1,-1.5733333333333333,-14.351205271505464,7.177090692685423,2.1856666666666666,123,-10.20808,8.4006,123
2024,5,2,43,1,-1.5810000000000002,-13.792894406905695,6.528858347650942,1.6463333333333334,123,-9.505510000000001,7.3104,123
2024,5,2,44,0,-2.1933333333333334,-5.214333333333333,4.886938793809991,0.714,123,-11.52768,17.019000000000002,123
2024,5,2,44,1,-1.3323333333333334,-13.155070747286937,5.530727648297056,2.1793333333333336,123,-24.47877,12.584000000000001,123
2024,5,2,46,0,-4.495,-7.390333333333333,3.638573939808328,2.3823333333333334,123,-37.06155,13.796,123
2024,5,2,46,1,-2.6403333333333334,-12.041508185247466,3.414106494323949,3.8826666666666667,123,-37.36789,16.997,123
2024,5,2,47,0,-4.311,-9.810333333333332,2.8498728434365024,1.611,123,-18.4658,2.7223,123
2024,5,2,47,1,-2.224,-11.532296197103932,2.8768638434711598,3.9676666666666667,123,-44.92167,16.248,123
2024,5,3,0,1,-2.097,-11.036589054320698,2.4506738321410957,3.786666666666667,124,-34.01262,6.3129,124
2024,5,3,1,1,-2.344,-10.495217232041698,2.1578561072717157,3.2110000000000003,124,-25.51675,2.3932,124
2024,5,3,2,1,-0.791,-9.92385115557101,1.735283757114745,2.0236666666666667,124,-13.76114,2.6836,124
2024,5,3,3,1,-1.817,-9.383103355290022,1.6492748103828259,1.889,124,-7.85735,-0.9697100000000001,124
