year,month,30min,location,day,H_orig,LE_orig,date,incomingShortwaveRadiation,outgoingShortwaveRadiation
2023,1,21,0,2,,,2023-01-02 10:30:00,57.487,12.692999999999998
2023,1,21,1,2,,,2023-01-02 10:30:00,105.23333333333333,14.363333333333332
2023,1,22,0,2,,,2023-01-02 11:00:00,75.40166666666667,14.833
2023,1,22,1,2,,,2023-01-02 11:00:00,104.39999999999999,12.463333333333333
2023,1,23,0,2,,,2023-01-02 11:30:00,56.21533333333334,10.603666666666665
2023,1,23,1,2,,,2023-01-02 11:30:00,74.89666666666666,8.965666666666666
2023,1,24,0,2,,,2023-01-02 12:00:00,74.69600000000001,14.089666666666666
2023,1,24,1,2,,,2023-01-02 12:00:00,81.00666666666667,8.978
2023,1,25,0,2,,,2023-01-02 12:30:00,46.24466666666666,8.668333333333333
2023,1,25,1,2,,,2023-01-02 12:30:00,46.156666666666666,5.321666666666666
2023,1,26,0,2,,,2023-01-02 13:00:00,33.317,6.270333333333333
2023,1,26,1,2,,,2023-01-02 13:00:00,33.35333333333333,3.816333333333334
2023,1,27,0,2,,,2023-01-02 13:30:00,7.674333333333333,2.7549999999999994
2023,1,27,1,2,,,2023-01-02 13:30:00,13.607999999999999,1.5879999999999999
2023,1,28,0,2,,,2023-01-02 14:00:00,14.217666666666666,3.9979999999999998
2023,1,28,1,2,,,2023-01-02 14:00:00,10.103333333333333,1.1063333333333334
2023,1,29,0,2,,,2023-01-02 14:30:00,10.573999999999998,3.1630000000000003
2023,1,29,1,2,,,2023-01-02 14:30:00,10.647333333333334,0.999
2023,1,30,0,2,,,2023-01-02 15:00:00,8.131,2.897
2023,1,30,1,2,,,2023-01-02 15:00:00,7.727,0.7530000000000001
2023,1,31,0,2,,,2023-01-02 15:30:00,6.118666666666666,2.398
2023,1,31,1,2,,,2023-01-02 15:30:00,8.249333333333333,0.8786666666666667
2023,1,32,0,2,,,2023-01-02 16:00:00,-0.141,1.1683333333333332
2023,1,32,1,2,,,2023-01-02 16:00:00,1.7626666666666668,0.3233333333333333
2023,1,33,0,2,,,2023-01-02 16:30:00,-1.853,1.3766666666666667
2023,1,33,1,2,,,2023-01-02 16:30:00,0.011333333333333325,0.3036666666666667
2023,1,34,0,2,,,2023-01-02 17:00:00,-2.1736666666666666,1.3496666666666666
2023,1,34,1,2,,,2023-01-02 17:00:00,-0.31566666666666665,0.25733333333333336
2023,1,35,0,2,,,2023-01-02 17:30:00,-2.5243333333333333,1.3956666666666664
2023,1,35,1,2,,,2023-01-02 17:30:00,-0.2703333333333333,0.2806666666666667
2023,1,36,0,2,,,2023-01-02 18:00:00,-2.192,1.2076666666666667
2023,1,36,1,2,,,2023-01-02 18:00:00,-0.25533333333333336,0.19500000000000003
2023,1,37,0,2,,,2023-01-02 18:30:00,-1.4900000000000002,0.965
2023,1,37,1,2,,,2023-01-02 18:30:00,-0.20866666666666667,0.09733333333333333
2023,1,38,0,2,,,2023-01-02 19:00:00,-0.9209999999999999,0.41333333333333333
2023,1,38,1,2,,,2023-01-02 19:00:00,,
2023,1,39,0,2,,,2023-01-02 19:30:00,-0.5396666666666666,0.32
2023,1,39,1,2,,,2023-01-02 19:30:00,-0.10899999999999999,0.122
2023,1,40,0,2,,,2023-01-02 20:00:00,-0.6523333333333333,1.05
2023,1,40,1,2,,,2023-01-02 20:00:00,0.10999999999999999,0.22433333333333336
2023,1,41,0,2,,,2023-01-02 20:30:00,-1.7063333333333333,1.0246666666666666
2023,1,41,1,2,,,2023-01-02 20:30:00,-0.4623333333333333,0.40199999999999997
2023,1,42,0,2,,,2023-01-02 21:00:00,-0.39599999999999996,0.8536666666666667
2023,1,42,1,2,,,2023-01-02 21:00:00,0.04033333333333333,0.20099999999999998
2023,1,43,0,2,,,2023-01-02 21:30:00,-0.7426666666666666,1.7573333333333334
2023,1,43,1,2,,,2023-01-02 21:30:00,0.622,-0.17400000000000002
2023,1,44,0,2,,,2023-01-02 22:00:00,-0.383,1.8393333333333333
2023,1,44,1,2,,,2023-01-02 22:00:00,0.63,-0.23633333333333337
2023,1,45,0,2,,,2023-01-02 22:30:00,-0.36933333333333335,1.5306666666666668
2023,1,45,1,2,,,2023-01-02 22:30:00,-0.127,-0.3413333333333333
2023,1,46,0,2,,,2023-01-02 23:00:00,-0.5,1.2216666666666667
2023,1,46,1,2,,,2023-01-02 23:00:00,-0.269,-0.5266666666666667
2023,1,47,0,2,,,2023-01-02 23:30:00,-0.3933333333333333,1.2303333333333333
2023,1,47,1,2,,,2023-01-02 23:30:00,-0.2823333333333333,-0.49866666666666665
2023,1,0,0,3,,,2023-01-03 00:00:00,-0.5193333333333333,1.2023333333333333
2023,1,0,1,3,,,2023-01-03 00:00:00,-0.48533333333333334,-0.3993333333333333
2023,1,1,0,3,,,2023-01-03 00:30:00,-0.295,1.2016666666666664
2023,1,1,1,3,,,2023-01-03 00:30:00,-0.7853333333333333,-0.3443333333333333
2023,1,2,0,3,,,2023-01-03 01:00:00,-0.45533333333333337,1.345
2023,1,2,1,3,,,2023-01-03 01:00:00,-0.895,-0.08666666666666667
2023,1,3,0,3,,,2023-01-03 01:30:00,-0.6013333333333333,1.3019999999999998
2023,1,3,1,3,,,2023-01-03 01:30:00,-1.106,0.10533333333333335
2023,1,4,0,3,,,2023-01-03 02:00:00,-0.8513333333333333,1.267
2023,1,4,1,3,,,2023-01-03 02:00:00,-0.5656666666666667,-0.01799999999999999
2023,1,5,0,3,,,2023-01-03 02:30:00,-1.6066666666666667,1.4893333333333334
2023,1,5,1,3,,,2023-01-03 02:30:00,-0.48933333333333334,-0.10366666666666667
2023,1,6,0,3,,,2023-01-03 03:00:00,-1.4640000000000002,0.976
2023,1,6,1,3,,,2023-01-03 03:00:00,-1.3543333333333332,0.5003333333333333
2023,1,7,0,3,,,2023-01-03 03:30:00,-1.5196666666666667,1.0050000000000001
2023,1,7,1,3,,,2023-01-03 03:30:00,-1.4533333333333334,0.9066666666666666
2023,1,8,0,3,,,2023-01-03 04:00:00,-1.9989999999999999,0.6336666666666667
2023,1,8,1,3,,,2023-01-03 04:00:00,-1.4989999999999999,1.0026666666666666
2023,1,9,0,3,,,2023-01-03 04:30:00,-1.155,0.39433333333333326
2023,1,9,1,3,,,2023-01-03 04:30:00,-1.6380000000000001,1.3030000000000002
2023,1,10,0,3,,,2023-01-03 05:00:00,-4.066333333333334,0.49466666666666664
2023,1,10,1,3,,,2023-01-03 05:00:00,-1.8166666666666664,1.3436666666666666
2023,1,11,0,3,,,2023-01-03 05:30:00,-4.5136666666666665,0.5883333333333333
2023,1,11,1,3,,,2023-01-03 05:30:00,-2.014666666666667,1.7153333333333336
2023,1,12,0,3,,,2023-01-03 06:00:00,-4.4396666666666675,0.4466666666666666
2023,1,12,1,3,,,2023-01-03 06:00:00,-1.8066666666666666,1.6680000000000001
2023,1,13,0,3,,,2023-01-03 06:30:00,-2.0003333333333333,0.235
2023,1,13,1,3,,,2023-01-03 06:30:00,-1.2140000000000002,1.1306666666666667
2023,1,14,0,3,,,2023-01-03 07:00:00,-3.9726666666666666,0.349
2023,1,14,1,3,,,2023-01-03 07:00:00,-1.8693333333333335,1.4319999999999997
2023,1,15,0,3,,,2023-01-03 07:30:00,-5.5569999999999995,0.449
2023,1,15,1,3,,,2023-01-03 07:30:00,-2.096,1.5763333333333331
2023,1,16,0,3,,,2023-01-03 08:00:00,-3.382,0.7923333333333332
2023,1,16,1,3,,,2023-01-03 08:00:00,0.08533333333333341,1.9763333333333335
2023,1,17,0,3,,,2023-01-03 08:30:00,9.749333333333333,4.547666666666667
2023,1,17,1,3,,,2023-01-03 08:30:00,14.739666666666665,6.132666666666666
2023,1,18,0,3,,,2023-01-03 09:00:00,56.29433333333333,21.349
2023,1,18,1,3,,,2023-01-03 09:00:00,40.60999999999999,13.284333333333334
2023,1,19,0,3,,,2023-01-03 09:30:00,114.75366666666666,39.146
2023,1,19,1,3,,,2023-01-03 09:30:00,126.93333333333334,37.68
2023,1,20,0,3,,,2023-01-03 10:00:00,159.72299999999998,49.00466666666667
2023,1,20,1,3,,,2023-01-03 10:00:00,176.13333333333333,42.64
2023,1,21,0,3,,,2023-01-03 10:30:00,200.11866666666666,57.60766666666667
2023,1,21,1,3,,,2023-01-03 10:30:00,213.80000000000004,45.663333333333334
2023,1,22,0,3,,,2023-01-03 11:00:00,228.615,63.22533333333333
2023,1,22,1,3,,,2023-01-03 11:00:00,240.13333333333333,47.80666666666667
2023,1,23,0,3,,,2023-01-03 11:30:00,197.482,50.897
2023,1,23,1,3,,,2023-01-03 11:30:00,236.46666666666667,46.833333333333336
2023,1,24,0,3,,,2023-01-03 12:00:00,265.626,72.67266666666666
2023,1,24,1,3,,,2023-01-03 12:00:00,205.6,39.76666666666667
2023,1,25,0,3,,,2023-01-03 12:30:00,265.2006666666667,70.51299999999999
2023,1,25,1,3,,,2023-01-03 12:30:00,266.5,50.93333333333334
2023,1,26,0,3,,,2023-01-03 13:00:00,258.7663333333333,66.382
2023,1,26,1,3,,,2023-01-03 13:00:00,204.36666666666667,37.90333333333333
2023,1,27,0,3,,,2023-01-03 13:30:00,147.538,34.745666666666665
2023,1,27,1,3,,,2023-01-03 13:30:00,88.02666666666666,13.363333333333332
2023,1,28,0,3,,,2023-01-03 14:00:00,81.62266666666666,16.466333333333335
2023,1,28,1,3,,,2023-01-03 14:00:00,84.73666666666666,11.089999999999998
2023,1,29,0,3,,,2023-01-03 14:30:00,57.17033333333333,11.496666666666664
2023,1,29,1,3,,,2023-01-03 14:30:00,54.70666666666667,6.407666666666667
2023,1,30,0,3,,,2023-01-03 15:00:00,70.90233333333333,16.730333333333334
2023,1,30,1,3,,,2023-01-03 15:00:00,34.79,4.075333333333334
2023,1,31,0,3,,,2023-01-03 15:30:00,55.13066666666666,13.553333333333335
2023,1,31,1,3,,,2023-01-03 15:30:00,30.073333333333334,8.945
2023,1,32,0,3,,,2023-01-03 16:00:00,10.679333333333332,2.8586666666666667
2023,1,32,1,3,,,2023-01-03 16:00:00,8.251666666666667,3.8689999999999998
2023,1,33,0,3,,,2023-01-03 16:30:00,-0.8450000000000001,0.11966666666666666
2023,1,33,1,3,,,2023-01-03 16:30:00,-0.29566666666666663,0.9700000000000001
2023,1,34,0,3,,,2023-01-03 17:00:00,-2.9603333333333333,0.09333333333333332
2023,1,34,1,3,,,2023-01-03 17:00:00,-0.875,0.9166666666666666
2023,1,35,0,3,,,2023-01-03 17:30:00,-5.402666666666668,0.3663333333333334
2023,1,35,1,3,,,2023-01-03 17:30:00,-1.9496666666666667,1.438
