TIMESTAMP_START,TIMESTAMP_MITTE,TIMESTAMP_ENDE,kurzwEinstrahlung_43m,kurzwAusstrahlun_43m,langwEinstrahlung_43m,langwAusstrahlung_43m,Luftdruck_43m,Lufttemperatur_43m,RelativeFeuchte_43m,Wasserdampfdruck_43m,Wasserdampfdefizit_43m,Niederschlag_43m,Windgeschw_I_43m,Windgeschw_II_43m,BestandsNiederschlag_1m,Bodentemp_1_5cm,Bodentemp_2_5cm,Bodentemp_3_5cm,Bodentemp_4_5cm,Bodentemp_1_15cm,Bodentemp_2_15cm,Bodentemp_3_15cm,Bodentemp_4_15cm,Bodentemp_1_30cm,Bodentemp_2_30cm,Bodentemp_3_30cm,Bodentemp_4_30cm
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,hPa,degC,%,hPa,hPa,mm,ms-1,ms-1,mm,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC
2023-05-15 02:30:00,2023-05-15 02:45:00,2023-05-15 03:00:00,-0.6673333333333334,1.2466666666666668,341.8399098515835,372.9349098515834,956.0,11.693333333333333,65.39999999999999,9.000495579762205,4.7617300773665505,0.0,2.5103333333333335,2.2143333333333333,0.0,16.63392,NaN,12.348785,NaN,14.967845,15.40922,NaN,14.45535,NaN,10.867420000000001,10.51088,10.48235
2023-05-15 03:00:00,2023-05-15 03:15:00,2023-05-15 03:30:00,-0.5486666666666666,1.255,342.7501817352615,374.1475150685948,956.0,11.896666666666667,63.57,8.867049514208716,5.081431709967337,0.0,2.755333333333334,2.6703333333333332,0.0,16.63392,NaN,12.320315,NaN,14.953610000000001,15.451935,NaN,14.44111,NaN,10.85316,10.51088,10.48235
2023-05-15 03:30:00,2023-05-15 03:45:00,2023-05-15 04:00:00,-1.316,1.131,330.78672944566785,372.4890627790012,955.6666666666666,11.800000000000002,63.06333333333333,8.740363363794382,5.119296285966783,0.0,2.6733333333333333,2.380333333333333,0.0,16.605439999999998,NaN,12.30608,NaN,14.92513,15.38074,NaN,14.426874999999999,NaN,10.85316,10.51088,10.48235
2023-05-15 04:00:00,2023-05-15 04:15:00,2023-05-15 04:30:00,-0.44966666666666666,1.9413333333333334,305.60549241744405,370.196492417444,955.0,11.5,63.90666666666667,8.683099082765375,4.904057837898158,0.0,3.1129999999999995,2.6646666666666667,0.0,16.591195,NaN,12.277610000000001,NaN,14.92513,15.32379,NaN,14.41264,NaN,10.85316,10.51088,10.48235
2023-05-15 04:30:00,2023-05-15 04:45:00,2023-05-15 05:00:00,14.825666666666669,6.206333333333333,307.1279511141613,368.6592844474946,955.0,11.076666666666668,66.04666666666667,8.72517642731773,4.485447011641183,0.0,3.1703333333333332,2.743,0.0,16.591195,NaN,12.249139999999999,NaN,14.92513,15.366505,NaN,14.41264,NaN,10.85316,10.51088,10.48235
2023-05-15 05:00:00,2023-05-15 05:15:00,2023-05-15 05:30:00,47.45333333333334,12.186666666666667,326.0528963527604,367.5555630194271,955.0,10.986666666666666,66.92666666666666,8.78865168280451,4.3431119631829045,0.0,3.2103333333333333,2.8860000000000006,0.0,16.590355,NaN,12.21977,NaN,14.924265000000002,15.308685,NaN,14.41177,NaN,10.866505,10.50996,10.495695
2023-05-15 05:30:00,2023-05-15 05:45:00,2023-05-15 06:00:00,112.44,25.356666666666666,309.8546795053052,366.75967950530526,955.0,11.14,66.28,8.792947482229991,4.473418664767582,0.0,2.797,2.4633333333333334,0.0,16.57513,NaN,12.190235000000001,NaN,14.89479,15.407359999999999,NaN,14.382280000000002,NaN,10.85117,10.50888,10.48035
2023-05-15 06:00:00,2023-05-15 06:15:00,2023-05-15 06:30:00,188.86666666666665,40.72333333333333,280.0443547589678,363.08102142563456,955.0,11.5,65.22666666666667,8.862449554118136,4.724707366545397,0.0,2.826,2.4930000000000003,0.0,16.54728,NaN,12.17669,NaN,14.8812,15.351054999999999,NaN,14.368714999999998,NaN,10.837605,10.48105,10.48105
2023-05-15 06:30:00,2023-05-15 06:45:00,2023-05-15 07:00:00,265.6333333333333,49.51333333333333,276.7184142419097,361.4450809085765,955.0,11.603333333333333,66.85666666666667,9.14631528367559,4.534168263727695,0.0,2.6203333333333334,2.4,0.0,16.519870000000004,NaN,12.163595,NaN,14.868065000000001,15.309425000000001,NaN,14.35558,NaN,10.838785,10.482225,10.467960000000001
2023-05-15 07:00:00,2023-05-15 07:15:00,2023-05-15 07:30:00,217.76666666666665,35.51,292.23627289454043,364.18527289454045,955.0,11.479999999999999,67.95333333333333,9.22069540383045,4.3484629457679755,0.0,2.5803333333333334,2.3713333333333337,0.0,16.53504,NaN,12.16459,NaN,14.869015,15.33885,NaN,14.356545,NaN,10.825545000000002,10.483245,10.468979999999998
