year,month,day,30min,location,soilHeatflux,airPressure,incomingShortwaveRadiation,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,netRadiation
2023,3,6,11,1,-7.722051787619235,946.0,-0.33433333333333337,,,3.4503333333333335,93.63333333333333,
2023,3,6,12,1,-7.930267329087436,946.0,-0.16033333333333333,,,3.3219999999999996,94.26666666666665,
2023,3,6,13,1,-7.721755091508307,946.0,0.11366666666666665,,,3.1946666666666665,94.7,
2023,3,6,14,1,-7.513901374565646,946.0,5.460333333333334,,,3.173,95.10000000000001,
2023,3,6,15,1,-7.722912929990035,946.0,14.413333333333332,,,3.942,95.39999999999999,
2023,3,6,16,1,-7.514263199091174,946.0,22.873333333333335,,,3.5676666666666663,95.60000000000001,
2023,3,6,17,1,-7.306308171281398,946.0,55.53666666666667,,,3.206,95.76666666666667,
2023,3,6,18,1,-7.096623622239479,946.0,41.18666666666667,,,3.1943333333333332,95.93333333333334,
2023,3,6,19,1,-7.304882582650739,946.0,27.22,,,3.7423333333333333,96.06666666666666,
2023,3,6,20,1,-7.305816089926671,946.0,26.456666666666667,,,2.4246666666666665,96.2,
2023,3,6,21,1,-7.305541103287259,946.0,229.60666666666668,,,3.168333333333333,96.36666666666667,
2023,3,6,22,1,-7.513698752831366,946.0,102.46999999999998,,,4.163666666666667,95.86666666666667,
2023,3,6,23,1,-7.513568496002166,946.0,190.73333333333335,,,4.468333333333333,92.36666666666667,
2023,3,6,24,1,-7.513018522723317,946.0,123.0,,,3.719,89.53333333333335,
2023,3,6,25,1,-7.931164653910803,946.0,173.36666666666667,,,2.5093333333333336,91.39999999999999,
2023,3,6,26,1,-7.721755091508282,946.0,62.279999999999994,,,2.8863333333333334,88.46666666666665,
2023,3,6,27,1,-7.929218037963367,946.0,59.96,,,4.057333333333333,84.66666666666667,
2023,3,6,28,1,-7.720568307064532,946.0,59.330000000000005,,,3.328666666666667,91.2,
2023,3,6,29,1,-8.347349696169804,945.3333333333334,102.8,,,3.108,93.76666666666667,
2023,3,6,30,1,-8.137795403957123,945.0,65.88333333333333,,,4.331333333333333,94.60000000000001,
2023,3,6,31,1,-8.556079028464262,945.0,95.62333333333333,,,3.753,95.36666666666667,
2023,3,6,32,1,-8.137860532371697,945.0,93.39999999999999,,,3.5783333333333336,95.7,
2023,3,6,33,1,-8.13864207334686,945.0,72.67999999999999,,,3.1809999999999996,94.60000000000001,
2023,3,6,34,1,-8.55678820453432,945.0,31.64,,,2.994666666666667,91.83333333333333,
2023,3,6,35,1,-8.765097820379156,945.0,7.079000000000001,,,2.1586666666666665,90.33333333333333,
2023,3,6,36,1,-8.555319196960628,945.0,0.4739999999999999,,,2.010666666666667,90.5,
2023,3,6,37,1,-8.556252704236508,945.0,-1.338,,,1.828,90.73333333333333,
2023,3,6,38,1,-8.764902435135369,945.0,-1.0616666666666665,,,2.582666666666667,90.53333333333335,
2023,3,6,39,1,-8.766197766936802,945.0,-1.8479999999999999,,,2.8633333333333333,91.3,
2023,3,6,40,1,-8.557685529357634,945.0,-1.6360000000000001,,,2.8930000000000002,91.16666666666667,
2023,3,6,41,1,-8.766950361949931,945.0,-1.721,,,3.221333333333334,90.63333333333333,
2023,3,6,42,1,-8.767058909307577,944.0,-1.7173333333333334,,,4.147666666666667,89.89999999999999,
2023,3,6,43,1,-8.766183293955766,944.0,-0.9006666666666666,,,4.330000000000001,87.63333333333333,
2023,3,6,44,1,-8.766892470025837,944.0,-1.129,,,4.2266666666666675,85.76666666666667,
