30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,year,H_orig,LE_orig
6,9.124333333333334,95,-5.075333333333333,0,2024,-28.13372,11.289
35,24.01,134,284.107,0,2024,-18.49208,60.99
11,15.97,181,170.33333333333334,1,2024,-7.84117,57.793
38,23.054,191,55.160333333333334,0,2023,-18.69888,23.251
28,24.058999999999997,99,393.88733333333334,0,2024,-9.06382,122.51
6,19.026666666666667,180,-1.8443333333333336,1,2024,-37.55516,11.397
4,7.875333333333333,145,-1.6436666666666664,1,2023,-34.7128,-4.4532
11,14.226666666666668,145,194.33333333333337,1,2024,27.05773,55.433
22,20.519333333333332,172,812.0043333333333,0,2024,82.02808,209.71
11,16.94,200,69.74333333333333,1,2023,-27.91203,19.984
26,19.266666666666666,167,617.6,1,2023,118.047,109.67
42,4.236666666666667,107,-0.3426666666666667,1,2024,-16.36451,72.908
25,23.120333333333335,210,710.167,0,2023,91.42123,241.94
13,19.07,176,314.1,1,2023,17.58298,26.882
41,18.133333333333333,135,-2.582666666666667,1,2024,-106.6714,32.988
46,11.408333333333331,72,-4.692,0,2023,-33.44964,-6.2457
6,21.636666666666667,179,-1.0973333333333333,1,2024,-33.10025,19.993
23,12.813333333333333,153,316.8,1,2023,125.7216,52.802
19,26.237,178,745.1640000000001,0,2024,80.4181,128.6
25,21.926666666666662,158,719.5733333333334,0,2023,116.1307,174.9
19,15.956666666666669,179,773.6666666666666,1,2023,255.3321,197.16
43,21.513333333333332,188,-3.092333333333334,1,2023,-91.2462,72.741
34,10.226666666666668,124,39.413333333333334,1,2024,2.74179,14.232
11,9.216666666666669,161,174.13333333333333,1,2024,22.67402,31.142
38,17.115333333333336,194,36.01266666666667,0,2023,-6.05249,12.487
31,13.316666666666665,163,631.0666666666667,1,2024,215.7244,115.21
34,16.69333333333333,186,133.0,1,2023,-21.22418,69.925
40,18.446666666666665,156,9.246,1,2023,-33.98526,13.258
44,7.920333333333333,52,-0.626,0,2023,-1.52129,3.2343
32,23.53,173,9.977,1,2023,287.345,222.19
20,9.271,93,149.17066666666668,0,2024,14.11036,42.177
14,15.767666666666663,168,369.15933333333334,0,2023,33.273109999999996,114.0
24,18.866666666666664,97,539.0666666666667,1,2024,120.5203,44.538
18,15.236666666666665,149,663.2666666666667,1,2023,127.9217,54.411
36,22.283666666666665,198,129.133,0,2023,-18.29642,47.373000000000005
21,19.676666666666662,147,858.5333333333333,1,2024,239.2135,201.32
4,0.718,116,0.9776666666666668,1,2024,90.55104,-8.1317
4,10.706666666666663,152,-0.162,1,2024,-9.87047,-8.4173
20,16.937,126,840.6413333333334,0,2024,140.0007,197.87
42,1.919,115,-0.0653333333333333,1,2024,13.04685,81.35600000000001
45,3.0693333333333332,116,-2.7466666666666666,1,2024,-19.03069,3.1931
46,8.54,101,-2.7689999999999997,1,2024,-21.61697,0.34993
28,11.810666666666668,117,714.8033333333333,0,2023,141.5715,160.71
24,28.47,178,890.0079999999999,0,2024,109.4974,229.68
12,10.685666666666668,154,245.25966666666667,0,2023,27.14882,22.816
0,14.48,152,-2.4073333333333333,1,2023,-60.94676,6.7107
47,20.673333333333336,179,-2.332666666666667,1,2024,-39.06617,5.3746
34,14.543333333333331,182,28.543333333333333,1,2023,-18.73577,29.603
27,26.482666666666663,142,777.2803333333333,0,2023,85.53576,184.74
0,16.14666666666667,186,-0.8409999999999999,1,2023,-35.14012,22.636
2,4.405,115,-1.357,0,2024,-16.8292,18.209
26,16.665666666666667,162,288.549,0,2024,17.32348,82.26299999999999
10,15.583333333333334,163,90.8,1,2023,-24.08601,17.86
43,15.433333333333332,141,-2.6806666666666668,1,2024,-79.539,0.38005
1,1.7106666666666666,65,-0.7566666666666667,0,2023,-7.302910000000001,5.9331
4,4.4559999999999995,115,-2.3160000000000003,0,2024,-10.70803,12.522
17,11.533333333333331,139,629.5666666666667,1,2023,255.8638,59.368
9,12.223333333333334,201,11.769,1,2023,-13.31809,8.0778
7,8.326333333333332,153,-0.8276666666666666,0,2023,-3.67994,6.1007
36,23.27333333333333,196,13.892,0,2023,-30.33124,43.239
3,1.4193333333333331,63,-0.5670000000000001,0,2023,-9.35472,4.5771
1,18.593333333333337,122,-2.208666666666667,1,2024,-53.00554,28.375
29,21.293333333333333,142,531.9,1,2024,114.9603,161.73
20,9.730333333333332,48,35.81666666666667,0,2023,-10.78767,15.034
21,18.185666666666663,154,891.4343333333333,0,2023,139.5166,154.48
19,14.771,126,504.6523333333333,0,2023,55.0621,107.05
35,14.62,146,281.09999999999997,1,2023,76.42907,28.642
29,21.926666666666662,197,718.0666666666666,1,2023,196.9559,172.61
5,14.853333333333332,164,-2.7983333333333333,1,2023,-57.56946,7.4993
19,12.229666666666668,117,710.4233333333333,0,2024,138.0782,163.06
33,17.107333333333333,103,67.74233333333332,0,2024,-15.14624,40.687
16,22.968666666666667,177,556.4543333333334,0,2024,87.33239,138.73
23,11.96,128,168.33333333333334,1,2024,38.03331,19.042
32,30.929999999999996,190,380.6666666666667,1,2023,45.95653,137.26
26,23.297,159,787.3143333333334,0,2023,110.1938,227.18
15,15.106666666666667,157,309.0,1,2023,59.609080000000006,98.94
14,10.338,122,39.732000000000006,0,2023,-5.2269,19.891
