30min,airTemperature,day,incomingShortwaveRadiation,location,month,soilHeatflux,waterPressureDeficit,year,H_orig,LE_orig
24,17.288,6,433.9086666666667,0,5,42.68333333333334,7.375133556101279,2024,60.47476,100.64
26,10.003333333333334,24,403.3,1,5,-30.909366648730668,4.068562448300394,2023,133.292,56.504
14,20.767999999999997,26,383.315,0,6,4.551333333333333,7.0978693048974435,2024,79.29939,67.87899999999999
44,14.473,23,-4.5056666666666665,0,6,-17.206333333333333,1.4505427483629862,2024,-14.18575,-3.1372
41,16.403333333333332,31,-0.7163333333333335,1,7,-41.982933888027546,3.9250966954699233,2023,-47.92987,49.031000000000006
45,14.406666666666666,30,-2.5966666666666662,1,6,-25.948607673744544,5.496362901957955,2023,-57.81369,12.798
1,1.7106666666666666,6,-0.7566666666666667,0,3,-6.678666666666667,1.2531647261171237,2023,-7.302910000000001,5.9331
34,26.976666666666663,25,412.3066666666667,0,6,38.23866666666667,20.033481000751397,2024,26.12442,112.73
16,9.876666666666669,20,147.79999999999998,1,5,-30.911031041548178,2.0930592405082376,2023,57.786559999999994,22.891
21,20.992,10,758.5733333333334,0,5,64.616,14.403483810084214,2024,129.289,211.89
7,9.75,29,-1.251,1,4,-3.4224788931966996,3.5780144366187265,2024,-17.05868,3.9706
17,4.950333333333333,22,562.7236666666666,0,4,-0.7719999999999999,2.736034135966614,2024,141.4882,109.22
3,1.4193333333333331,4,-0.5670000000000001,0,3,-5.164666666666666,0.6226631649074728,2023,-9.35472,4.5771
19,15.115666666666668,2,72.62166666666667,0,6,1.2303333333333333,0.778865994715801,2024,7.58529,25.531
16,7.233999999999999,3,114.03333333333336,1,4,3.970598571634432,0.4755355436911124,2024,7.13385,67.288
29,23.89,25,737.5666666666666,1,6,-14.051796547913618,15.31319828622556,2024,217.3006,280.79
13,9.465666666666667,4,19.282,0,4,-7.268666666666667,2.4544466289093148,2024,-12.53111,16.11
19,14.771,6,504.6523333333333,0,5,22.695666666666668,4.001061853235642,2023,55.0621,107.05
26,19.686666666666667,28,858.6666666666666,1,5,-33.96895483671077,14.2305186527315,2023,303.0196,154.63
7,15.13,13,-2.463333333333334,1,7,-20.165493917107344,5.562722360732103,2023,-31.01721,5.5411
23,19.67,17,905.3333333333334,1,6,-31.089844722070843,11.823302871919603,2023,250.8524,161.7
14,15.886666666666663,14,365.93333333333334,1,7,-31.902719701152648,5.604425753410144,2023,51.63629,83.141
21,17.433666666666664,12,538.5053333333334,0,4,43.91366666666667,7.501145537417507,2024,66.12954,119.74
35,15.417666666666667,2,77.328,0,6,0.36,2.8352019860372,2024,3.93276,23.198
17,2.512,18,155.0,1,4,13.650207765639037,0.3123949399602921,2024,52.16063,39.412
41,19.349333333333337,1,-4.526666666666667,0,5,-6.456333333333333,9.825549896443103,2024,-54.30774,25.842
28,21.15,15,678.9666666666667,1,6,-30.258154867660817,16.52152276514949,2023,262.5963,142.23
12,11.173333333333334,23,235.83333333333337,1,5,1.5499215607024246,1.3916257286677212,2024,16.41853,21.523000000000003
