30min,airPressure,airTemperature,day,day_of_year,incomingShortwaveRadiation,location,month,relativeHumidity,soilHeatflux,soilTemperature,waterPressureDeficit,waterVaporPressure,windSpeed,year,H_orig,LE_orig
10,985.1726666666668,14.024666666666668,29,150,32.086999999999996,0,5,74.18733333333333,-13.222333333333331,18.569,4.138914825179821,11.89551849636705,1.0073333333333334,2024,-12.47114,24.814
37,980.3673333333332,21.41033333333333,23,204,23.774,0,7,59.620000000000005,0.1976666666666667,20.085444444444445,10.315040734352204,15.22988431357302,2.1366666666666667,2023,-18.9595,34.455
37,990.167,21.336333333333332,17,198,51.77133333333333,0,7,44.48466666666667,-7.605999999999999,21.628777777777778,14.117218527330817,11.31218571053287,2.151333333333333,2023,-21.14091,41.65
45,979.8486666666666,8.189333333333336,2,93,-1.3613333333333333,0,4,92.25566666666668,-5.386,12.1215,0.8424118432388781,10.035372040532636,1.5116666666666667,2024,-20.53863,16.712
18,989.9486666666668,17.484666666666666,16,167,234.08566666666664,0,6,65.51566666666666,4.906666666666667,16.920333333333332,6.900856533731567,13.110713552389376,0.9896666666666666,2023,33.346340000000005,43.61600000000001
36,953.0,22.2,8,99,60.46333333333334,1,4,34.193333333333335,-22.057702153229517,9.807777777777778,17.640439411369844,9.16602307171674,2.8136666666666668,2024,-16.7048,28.115
39,999.1663333333332,13.782666666666666,26,146,25.583,0,5,53.93066666666667,-1.028,13.816666666666668,7.27167890270046,8.512528023165903,0.5346666666666666,2023,-41.06528,29.904
35,961.0,21.433333333333337,18,199,277.49999999999994,1,7,40.666666666666664,-51.390950471351154,14.785995,15.178014479863249,10.402908800805143,2.0306666666666664,2023,43.92714,75.756
38,961.0,16.956666666666667,20,172,116.89666666666666,1,6,80.03333333333335,-8.080463535683979,12.58,3.86432584705782,15.489559864417084,2.545666666666667,2024,8.51539,13.245
39,961.0,10.593333333333334,14,105,-1.0973333333333333,1,4,55.27,-5.122091896052815,10.207777777777777,5.721836365483009,7.070107219321393,2.4066666666666667,2024,-14.58119,12.829
3,965.0,14.536666666666669,5,156,-3.346,1,6,40.28,-35.44049518208861,11.281845,9.898779464179444,6.676537789972338,2.596,2023,-43.669059999999995,3.8171
33,971.2693333333332,23.81,2,123,411.544,0,5,46.494,39.114666666666665,15.493222222222222,15.809849142009474,13.737956976948167,3.398,2024,13.952,115.43
16,953.0,11.736666666666666,19,140,106.93333333333332,1,5,92.4,0.168996579755456,11.588888888888889,1.0489318995389745,12.75280362071066,1.4466666666666663,2024,7.44751,48.32899999999999
38,952.3333333333334,9.413333333333334,4,95,-0.7763333333333332,1,4,82.13333333333333,-4.662034283997442,7.767888888888888,2.111542700144888,9.706793308128736,4.482666666666667,2024,-24.37906,22.12
46,964.929,11.408333333333331,13,72,-4.692,0,3,83.73666666666666,5.755,6.210888888888889,2.1963363470162793,11.30849874429103,1.4393333333333331,2023,-33.44964,-6.2457
17,956.0,11.323333333333332,5,96,165.13333333333333,1,4,86.86666666666667,-0.5262080490375833,7.852333333333333,1.7636610955907894,11.66523049520204,4.308333333333333,2024,31.09182,21.026
24,956.0,13.933333333333335,30,211,114.23333333333332,1,7,93.26666666666664,-43.828021873574606,14.7306525,1.0732657289066303,14.866324304360116,4.783666666666668,2023,-7.01825,75.697
26,957.0,26.206666666666667,26,178,829.6666666666666,1,6,55.59,-14.246819979698143,13.913333333333334,15.135072036123404,18.945252296512045,2.18,2024,228.2419,257.14
42,954.0,16.973333333333333,29,210,-1.954,1,7,74.7,-49.14488854659878,14.836255,4.901711406710016,14.47264197949558,2.7900000000000005,2023,-12.51994,11.198
30,980.3056666666666,24.897333333333336,14,135,699.6206666666667,0,5,33.71966666666666,65.69733333333333,16.807666666666666,20.901178901067773,10.633331940862872,4.241333333333333,2024,57.08752,178.32
8,954.0,10.14,9,161,2.4506666666666668,1,6,89.93333333333334,-0.9343547957369576,12.276666666666666,1.249261326311073,11.16061939863336,3.418333333333333,2024,11.45576,7.0373
5,957.0,10.340000000000002,22,203,-1.777,1,7,92.2,-45.72094306139828,14.417125,0.9810204273944568,11.59616453920114,3.7893333333333334,2023,-55.18721,11.371
20,980.8493333333334,11.733666666666666,15,106,524.36,0,4,69.86066666666666,14.948333333333332,13.306666666666668,4.158925708638554,9.640071311772932,2.2833333333333337,2024,90.89217,137.6
28,961.0,11.363333333333332,12,164,672.0333333333333,1,6,65.5,3.094644741919422,11.42888888888889,4.645281104649154,8.819301807377377,3.655,2024,151.0791,182.86
