30min,airTemperature,day_of_year,incomingShortwaveRadiation,location,soilTemperature,windSpeed,H_orig,LE_orig
6,14.203333333333331,145,-2.251,1,12.111111111111112,2.569666666666667,-29.405990000000003,3.907
18,9.166666666666666,155,271.5,1,12.42,3.3200000000000003,83.32108000000001,62.428
22,10.943333333333332,163,475.6666666666667,1,11.78111111111111,5.399333333333334,234.651,103.4
0,9.156666666666668,146,-1.9383333333333337,1,10.65693,3.974,-53.87266999999999,1.7346
15,10.125666666666667,128,303.4883333333333,0,10.403333333333332,1.4153333333333336,39.81333,40.466
29,7.767,75,318.06199999999995,0,5.694333333333334,3.704,59.040969999999994,69.206
30,23.55,180,173.1966666666667,0,18.086,0.7043333333333334,10.61434,44.898999999999994
33,8.385666666666667,114,153.86233333333334,0,10.066666666666668,0.8883333333333333,9.12083,40.688
44,4.917000000000001,50,-0.5776666666666667,0,7.217777777777777,0.884,-2.2400599999999997,-1.2
11,0.7333333333333334,114,57.906666666666666,1,7.433555555555555,1.475,-6.53097,1.7323
27,24.243,156,836.1526666666667,0,15.026333333333334,1.7086666666666666,96.55985,176.33
14,19.982333333333333,189,374.43799999999993,0,20.284555555555553,0.6363333333333333,39.26023,76.605
1,14.47,145,-2.165666666666666,1,12.084444444444443,2.474,-12.76615,2.6466
17,14.35,168,491.4666666666667,1,11.703333333333331,4.096,118.7296,81.518
13,7.755,95,30.036666666666665,1,7.808888888888888,4.497,-17.576610000000002,-8.5217
43,12.453333333333331,143,-1.1306666666666667,1,12.126666666666669,2.731666666666667,-22.10486,9.2306
1,15.36,137,-2.240666666666667,1,11.654444444444444,4.804666666666667,-59.13335,11.024
35,23.758666666666667,121,160.95433333333335,0,13.844,2.3193333333333332,-22.27476,38.259
25,14.213333333333331,200,177.26666666666665,1,14.80815,4.531666666666666,-36.9879,104.73
9,11.803333333333333,208,7.361999999999999,1,14.060455,4.592333333333333,-22.87752,3.9448
10,10.293333333333337,165,108.63333333333333,1,15.1598775,2.889333333333333,12.81694,14.086
26,22.757,199,522.02,0,20.554333333333332,1.5006666666666666,82.75667,152.3
9,9.726666666666668,152,40.18333333333334,1,11.41956,2.7596666666666665,-15.57613,12.507
32,21.073333333333338,180,567.5666666666666,1,14.924444444444443,4.601,160.7898,184.6
30,20.85,123,548.4666666666667,1,10.307777777777778,3.717333333333333,127.4774,220.68
6,8.594666666666667,153,-1.091,0,15.426666666666668,0.8006666666666667,-7.96709,5.2995
13,16.816666666666666,197,311.8666666666667,1,15.316135,6.698666666666667,47.10999,78.684
21,15.443333333333332,167,246.6,1,14.9678,2.3186666666666667,13.18905,72.164
27,15.45,129,522.5333333333333,1,10.114444444444445,1.901,237.5165,98.813
16,20.44,142,393.1383333333333,0,13.113333333333337,1.3036666666666668,24.53619,64.296
