year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,H_orig,LE_orig
2023,181,45,1,-2.5966666666666662,-25.948607673744544,-57.81369,12.798
2023,65,1,0,-0.7566666666666667,-6.678666666666667,-7.302910000000001,5.9331
2024,177,34,0,412.3066666666667,38.23866666666667,26.12442,112.73
2023,140,16,1,147.79999999999998,-30.911031041548178,57.786559999999994,22.891
2024,131,21,0,758.5733333333334,64.616,129.289,211.89
2024,120,7,1,-1.251,-3.4224788931966996,-17.05868,3.9706
2024,113,17,0,562.7236666666666,-0.7719999999999999,141.4882,109.22
2023,63,3,0,-0.5670000000000001,-5.164666666666666,-9.35472,4.5771
2024,154,19,0,72.62166666666667,1.2303333333333333,7.58529,25.531
2024,94,16,1,114.03333333333336,3.970598571634432,7.13385,67.288
2024,177,29,1,737.5666666666666,-14.051796547913618,217.3006,280.79
2024,95,13,0,19.282,-7.268666666666667,-12.53111,16.11
2023,126,19,0,504.6523333333333,22.695666666666668,55.0621,107.05
2023,148,26,1,858.6666666666666,-33.96895483671077,303.0196,154.63
2023,194,7,1,-2.463333333333334,-20.165493917107344,-31.01721,5.5411
2023,168,23,1,905.3333333333334,-31.089844722070843,250.8524,161.7
2023,195,14,1,365.93333333333334,-31.902719701152648,51.63629,83.141
2024,103,21,0,538.5053333333334,43.91366666666667,66.12954,119.74
2024,154,35,0,77.328,0.36,3.93276,23.198
2024,109,17,1,155.0,13.650207765639037,52.16063,39.412
2024,122,41,0,-4.526666666666667,-6.456333333333333,-54.30774,25.842
2023,166,28,1,678.9666666666667,-30.258154867660817,262.5963,142.23
2024,144,12,1,235.83333333333337,1.5499215607024246,16.41853,21.523000000000003
2023,122,14,0,39.732000000000006,-0.947,-5.2269,19.891
2024,143,22,1,100.7,-2.99967159353386,-10.08003,11.083
2024,181,17,1,632.5666666666666,-0.4979682862779713,185.2737,123.07
2023,137,47,1,-2.1326666666666667,-28.447657306755566,-55.60547,3.0139
2023,181,20,1,127.06666666666666,-26.76502853317665,15.326620000000002,42.81100000000001
2023,184,5,1,-1.74,-29.24540802066971,-24.02158,-0.065085
2024,94,4,1,-1.0453333333333334,3.3505552765058564,-29.1114,1.3141
2024,180,35,1,309.3333333333333,-10.958192074866764,52.06025,112.83
2023,141,0,1,-1.2226666666666668,-35.22904492936208,-38.233509999999995,2.4598
2023,199,33,1,458.0,-51.39225303964311,81.52525,176.85
2024,142,6,1,-2.0516666666666667,-4.35847157240792,-63.325759999999995,5.9107
2023,155,7,1,-2.0276666666666667,-32.5666677055216,-32.05198,7.7952
2024,127,12,1,42.66,0.8137645667280987,8.98093,9.4481
