year,month,day,30min,location,incomingShortwaveRadiation,H_orig,LE_orig
2024,5,3,12,0,35.06933333333333,-4.13057,18.901
2023,7,27,34,1,87.08666666666666,-26.36438,38.375
2024,5,12,3,1,-2.5206666666666666,-37.20459,8.8055
2024,4,14,16,1,115.6,46.96778,13.413
2024,5,13,26,1,788.8000000000001,270.8267,158.37
2023,5,9,43,1,-2.0829999999999997,-48.50708,15.733
2024,6,25,12,0,233.39733333333336,25.95741,33.07
2024,4,5,33,0,75.96,-45.1979,62.79
2023,7,3,7,1,-0.2626666666666666,-31.51776,9.6988
2023,6,8,34,1,345.5666666666666,45.66388,120.07
2024,6,9,3,1,-0.5606666666666666,-2.51153,1.3168
2023,6,24,0,1,-2.355333333333333,-45.612359999999995,20.842
2023,7,28,13,0,91.615,3.4285400000000004,21.685
2023,5,15,14,1,217.76666666666665,6.12385,15.588
2024,4,10,25,1,325.6666666666667,111.9947,45.038
2024,6,3,15,0,158.10133333333332,14.27229,18.968
2023,6,10,34,1,435.6666666666667,183.8532,242.1
2023,6,27,13,1,337.6666666666667,65.65033000000001,47.355
2024,5,12,43,0,-4.556,-47.38437,16.273
2023,6,9,13,1,302.8,40.11274,63.716
2024,6,25,38,0,63.36033333333334,-13.74308,20.178
2023,4,27,35,0,120.34666666666664,-10.51278,29.461
2023,4,25,23,0,322.89000000000004,44.58665,121.27
2024,4,25,1,1,-0.08,-11.94253,1.9991
2024,4,19,3,0,-2.1863333333333332,-15.54685,10.525
2023,6,17,9,1,52.51333333333334,-40.841359999999995,10.363
2024,5,24,43,1,-0.52,-8.01437,7.7656
2023,6,29,19,0,417.2676666666666,44.55324,147.17
2023,5,18,38,0,48.41233333333333,-26.446340000000003,27.622
2024,5,17,25,1,646.2666666666667,237.3823,249.87
2024,5,13,7,1,-2.2503333333333333,-34.81907,0.99025
2023,6,30,44,1,-2.668333333333333,-49.35352,17.284000000000002
2024,6,25,43,1,-2.611666666666667,-89.56681,29.064
2023,6,2,4,1,-0.4493333333333333,1.10977,5.2678
2023,5,10,0,0,-3.4086666666666665,-33.992290000000004,20.988000000000003
2024,5,20,17,0,214.93866666666668,29.85393,52.287
2024,6,26,11,1,166.6,3.13662,27.971
2023,7,23,47,1,-0.0916666666666666,-93.6506,86.861
2023,7,14,13,1,280.23333333333335,37.27681,52.512
2024,4,4,12,0,11.377333333333334,-16.07304,24.821
2023,5,20,38,0,44.09133333333333,-15.90565,13.819
2023,7,12,1,0,-2.279333333333333,-40.45583,30.691
2024,6,24,29,0,799.7636666666667,96.57652,170.86
2023,2,17,10,0,-0.511,-16.54318,2.9546
2024,4,26,6,1,-1.1503333333333334,-35.43302,7.5511
2024,6,16,22,1,624.4666666666667,201.3836,126.61
2023,7,7,34,0,410.0026666666667,12.76744,110.8
2023,6,4,35,1,289.8333333333333,115.5482,57.574
2024,6,1,7,1,0.142,-10.05312,-22.183000000000003
2023,7,24,30,0,516.5323333333333,33.8799,204.82
2024,5,6,23,0,426.3983333333333,55.417190000000005,95.141
2024,4,15,30,0,543.7073333333333,64.77618000000001,177.33
2024,4,16,36,0,80.66266666666667,-3.7714,32.786
2024,4,26,42,1,-0.935,-5.57824,1.4455
2024,6,3,46,1,-0.5303333333333334,-14.99462,2.0614
2023,6,21,27,0,453.875,72.28605999999999,140.51
2023,6,24,22,0,877.7856666666667,127.0055,232.6
2024,5,7,32,1,313.8333333333333,118.1614,73.182
2023,6,16,15,1,211.6,40.5086,38.089
2023,6,28,23,1,812.1333333333333,205.9365,97.547
2023,5,14,33,0,100.912,-4.79712,22.776
2023,3,16,34,0,55.034,-16.351210000000002,25.746
2023,6,14,33,0,521.4203333333334,43.73356,69.072
2024,6,29,39,1,36.76,-51.57991,73.66199999999999
2023,5,15,30,1,454.7,158.3401,58.92
2023,7,3,26,1,832.1666666666666,227.6051,161.69
2023,6,7,12,1,142.6,-3.89029,54.728
2024,5,12,2,1,-2.5993333333333335,-49.82102,11.772
2024,4,11,25,1,375.7,157.2226,46.909
2024,5,11,3,1,-2.334,-57.2439,2.4058
2023,5,12,17,1,535.4333333333333,115.8224,77.10300000000001
2024,5,25,25,1,517.2666666666668,127.7912,107.4
2023,5,4,32,0,497.88266666666664,41.34512,103.49
2024,4,23,17,0,560.0243333333333,123.4231,88.23100000000001
2024,5,11,18,0,536.119,80.06461,85.48299999999999
2024,4,3,1,1,-0.9286666666666666,-31.008370000000003,15.349
2023,7,23,21,1,508.43333333333334,99.05222,192.03
2024,6,27,18,0,658.341,75.71119,126.26
2023,5,17,28,1,640.1666666666666,264.5038,63.863
2023,5,7,21,0,143.46833333333333,18.917679999999997,30.794
2023,6,29,25,0,452.57666666666665,90.99182,142.4
2023,7,12,16,1,512.6,52.565169999999995,164.47
2023,5,10,39,1,6.165,-14.51006,8.6534
2024,5,10,21,0,758.5733333333334,129.289,211.89
2023,3,18,6,0,-1.101333333333333,-23.56216,12.782
2023,3,17,4,0,-3.4713333333333334,-24.87799,6.3762
2024,5,23,20,0,580.7379999999999,73.68172,128.33
2023,6,12,13,1,313.6333333333333,37.02041,41.913
2023,5,25,12,1,191.13333333333333,58.10426999999999,93.709
2024,6,5,5,1,-1.8866666666666667,-57.19021,10.588
2024,5,12,41,0,-4.677666666666667,-52.62273,19.203
2023,6,28,33,1,316.2,33.7682,75.101
2024,6,3,32,0,285.4356666666667,37.24833,103.23
2024,5,12,47,1,-1.8263333333333336,-51.90953,9.0115
2024,5,17,23,0,457.5056666666667,48.72252,123.64
2024,5,19,8,1,2.145,-24.22306,11.192
2023,6,10,11,1,152.4333333333333,-7.90061,24.826
2024,6,2,1,1,-0.4543333333333333,-22.42057,21.726
2023,7,8,32,0,603.3416666666667,25.9579,161.35
2023,5,18,38,1,56.89666666666667,-15.23903,35.846
2023,7,8,17,1,606.6,113.8843,100.31
2023,7,13,20,1,556.7,137.9094,137.07
2023,5,28,36,1,195.26666666666665,24.34467,45.764
2024,6,12,41,1,0.0863333333333333,-34.6874,35.273
2024,6,29,24,1,832.7666666666668,202.233,192.61
2023,2,19,42,0,-1.0716666666666663,-1.25581,-5.2308
2023,7,4,24,1,829.6333333333333,235.666,140.98
2024,5,4,8,1,-0.6286666666666667,-4.18426,1.3788
2024,6,11,32,1,375.73333333333335,165.5085,76.11
2023,6,19,36,0,244.67099999999996,22.15507,41.131
2024,4,29,37,1,55.61000000000001,-15.8269,7.0839
2024,6,28,30,1,705.3000000000001,205.2634,209.07
2023,5,26,2,1,-2.0026666666666664,-55.8226,-2.1037
2023,5,19,15,0,489.14833333333337,74.92104,100.4
2024,6,9,27,0,905.093,122.6241,237.35
2023,2,20,13,0,-2.5743333333333336,-28.05889,9.5818
2023,5,31,28,1,780.3333333333334,279.9413,136.8
2024,4,28,0,1,-2.6039999999999996,-60.7459,8.2778
2023,6,26,3,1,-2.302666666666666,-13.42106,2.6617
2023,3,20,45,0,-0.7843333333333332,-6.67276,10.486
2023,5,8,25,0,871.2366666666667,131.024,190.41
2024,6,28,13,1,172.23333333333335,24.25584,48.166
2023,6,12,29,1,760.3333333333334,229.5399,134.64
2024,6,16,0,0,-1.7846666666666666,-43.91397,33.427
2023,5,22,19,1,787.6666666666666,260.1171,135.08
2023,5,20,34,1,293.8666666666666,89.25616,35.512
2024,5,25,6,1,-0.4296666666666666,-1.94666,-1.5869
2024,4,9,12,0,19.888,-11.16808,8.1707
2023,7,20,22,1,489.3666666666666,34.89237,166.8
2023,6,20,30,0,712.9586666666668,123.6774,206.0
2023,5,14,35,1,52.84666666666667,-16.30856,49.218
2024,6,7,45,1,-2.859,-1.73613,0.58089
2024,5,14,21,0,854.8493333333332,141.6423,222.01
