year,day_of_year,30min,location,incomingShortwaveRadiation,soilHeatflux,waterPressureDeficit,H_orig,LE_orig
2023,144,19,1,334.4,-29.686399752399883,2.4323952944266587,128.7611,60.65
2024,163,34,1,363.3333333333333,0.5885658550532727,5.810882769820092,84.50654,83.06200000000001
2024,124,26,0,160.0923333333333,9.348333333333334,4.435826620801999,12.83286,51.711000000000006
2023,207,3,1,-2.128,-40.16838389243613,1.547549184774189,-38.436,1.9377
2024,154,38,0,16.651,-3.9766666666666666,2.6415348020282625,-9.38494,22.962
2023,169,20,0,795.6653333333334,26.087333333333333,17.793457107948896,130.8342,106.82
2023,187,28,1,494.26666666666665,-43.63227480525656,11.000645246417474,63.33152,79.825
2023,183,34,0,295.37533333333334,3.0196666666666663,10.883158447438117,8.162230000000001,113.97
2023,131,6,1,-0.409,-28.851598207070182,0.8303471465428949,-4.10986,1.1552
2024,154,29,0,94.883,0.8243333333333333,2.026774090751278,11.68342,44.215
2024,125,6,1,-0.5356666666666667,1.4704096471258656,1.955578394976234,-14.394329999999998,7.5045
2024,154,34,0,78.20766666666667,0.2006666666666667,2.6675653694447927,4.15356,28.005
2023,48,14,0,-0.5106666666666667,5.051333333333333,0.9885041114645984,-17.427570000000003,1.7336
2024,161,31,0,683.5623333333333,32.241,16.371220757151654,76.51575,194.31
2024,101,38,1,1.0783333333333334,-0.5432398030412696,3.733352718054357,-15.04049,0.65358
2023,147,31,1,595.9333333333333,-36.23571312432406,10.464706416154296,213.1818,111.42
2023,201,29,0,770.0233333333334,48.32966666666666,14.029185578611422,119.0284,256.07
2024,109,9,1,-0.8913333333333334,13.822428075953242,0.273626485082751,-34.18649,10.84
2024,93,36,0,19.455333333333332,5.259333333333333,4.12394135768545,-33.69538,53.386
2024,114,36,1,73.50333333333334,1.667091059808128,5.080230993136277,14.35856,7.4633
2024,150,27,1,119.36666666666667,-2.907019627282958,2.120303331197528,-17.555429999999998,77.905
2024,108,27,0,575.0143333333333,31.539,5.123834565383059,112.9289,174.36
2024,161,23,0,938.4136666666668,52.84566666666666,12.82932057126272,147.7089,191.33
2023,182,17,1,343.1000000000001,-24.9203023721552,6.501105998321123,35.04533,131.59
