year,month,day,30min,location,netRadiation,incomingShortwaveRadiation,soilHeatflux,airPressure,waterPressureDeficit,waterVaporPressure,windSpeed,relativeHumidity,day_of_year,H_orig,LE_orig
2024,4,27,39,1,-95.07,-0.8493333333333334,-12.394315798989446,952.0,10.000324650190823,7.519515311601086,2.2116666666666664,42.919999999999995,118,-40.08302,9.8103
2023,5,6,19,0,290.56266666666664,504.6523333333333,22.695666666666668,989.8923333333333,4.001061853235642,12.827091970938485,1.1633333333333333,76.22399999999999,126,55.0621,107.05
2023,5,28,26,1,618.2353333333331,858.6666666666666,-33.96895483671077,964.0,14.230518652731499,8.739219837634637,2.0623333333333336,38.046666666666674,148,303.0196,154.63
2024,5,15,0,1,-102.24600000000004,-2.813,-7.558591525475895,953.0,9.045521463969797,8.99860673066375,4.417666666666666,49.870000000000005,136,-70.44608000000001,11.99
2023,6,17,23,1,675.0466666666666,905.3333333333334,-31.089844722070843,960.0,11.823302871919605,11.122685364436208,3.953,48.473333333333336,168,250.8524,161.7
2023,7,14,11,1,27.686333333333323,141.53333333333333,-31.082174042129346,962.0,4.288073403098727,11.891300523823896,2.7456666666666667,73.49666666666666,195,-26.20061,11.92
2024,5,22,38,1,2.105666666666707,17.153333333333332,-5.319007304571321,955.0,1.2029748235893614,13.648566208378035,2.7910000000000004,91.89999999999999,143,-6.51575,9.4567
2023,6,28,5,1,-83.5456666666667,-2.472,-22.861882646348686,962.0,2.2951175144533735,11.699501476115989,3.2163333333333335,83.60000000000001,179,-25.612470000000002,1.5663
2024,6,30,46,1,-24.83499999999998,-1.085,-1.829673725810276,956.0,1.5368721859529888,15.290195543459324,2.829333333333333,90.86666666666667,182,-15.195170000000001,6.8562
2024,4,6,16,1,219.31666666666683,345.73333333333335,-4.236833786813461,959.0,4.313407583839425,12.564410013028024,2.763,74.44333333333333,97,93.54652,26.891
2023,6,15,28,1,498.20166666666677,678.9666666666667,-30.258154867660817,963.0,16.52152276514949,8.61901403193317,2.264666666666667,34.28333333333333,166,262.5963,142.23
2024,5,23,12,1,107.22833333333335,235.83333333333334,1.5499215607024246,958.0,1.3916257286677212,11.90416148790287,2.9806666666666666,89.53333333333335,144,16.41853,21.523000000000003
2023,5,2,14,0,8.615333333333334,39.732000000000006,-0.9470000000000001,991.0946666666667,1.3400035932561298,11.23549858013639,1.438,89.34433333333334,122,-5.2269,19.891
2023,7,30,24,1,96.18233333333336,114.23333333333333,-43.828021873574606,956.0,1.0732657289066303,14.866324304360115,4.783666666666668,93.26666666666665,211,-7.01825,75.697
2024,4,29,1,1,-67.78033333333332,-1.8333333333333333,-6.634921369665491,961.0,4.187387257985398,8.610251061040875,3.5003333333333333,67.27999999999999,120,-49.28693,7.2154
2023,5,17,47,1,-88.76633333333331,-2.1326666666666667,-28.447657306755566,969.0,2.4652243061540347,6.134395366476316,4.187,71.33333333333333,137,-55.60547,3.0139
2024,5,25,15,0,93.12733333333334,278.18899999999996,24.428333333333338,988.6129999999999,3.3458876513426112,15.754551825799727,1.1119999999999999,82.48266666666667,146,30.568009999999997,46.806000000000004
2024,4,9,42,0,-42.13733333333333,-2.9566666666666666,-13.593000000000002,988.7823333333334,3.830647351932152,8.59226797874527,2.0486666666666666,69.16466666666666,100,-30.8962,13.697000000000001
2024,4,3,3,0,-47.74433333333334,-2.974,-6.561,979.681,1.8738167174475642,9.167252835804376,1.234333333333333,83.02866666666667,94,-28.06355,23.381
2024,4,16,34,1,65.30033333333336,110.33333333333333,8.51202915353792,945.0,1.7240687654295233,7.271072619420162,3.035,80.83333333333333,107,13.806729999999998,45.033
2023,5,21,0,1,-46.016333333333364,-1.2226666666666668,-35.22904492936208,962.0,3.3703782468941714,12.190001470992117,4.1690000000000005,78.33999999999999,141,-38.233509999999995,2.4598
2023,7,5,31,0,302.18766666666664,512.2596666666666,24.465999999999998,983.689,14.647706818340055,9.694275663224815,3.3953333333333333,39.82533333333333,186,55.6622,154.99
2024,5,6,25,1,343.64733333333334,450.93333333333334,-2.7817226284348338,952.0,5.552261389044695,11.048081611886222,1.9013333333333333,66.55333333333333,127,215.9032,87.425
2023,6,4,7,1,-93.45966666666664,-2.0276666666666667,-32.5666677055216,964.0,6.939246230634681,6.186692414954249,2.448,47.13333333333333,155,-32.05198,7.7952
2024,5,6,12,0,15.836333333333334,48.11766666666667,-8.293,980.3166666666666,1.0524185374858064,11.047127766098992,0.5293333333333333,91.302,127,5.84171,13.110999999999999
2023,4,27,22,0,397.88166666666666,685.3530000000001,19.15133333333333,992.1733333333333,6.493308121589036,5.68781129809662,1.33,46.693666666666665,117,140.5589,150.43
2023,6,15,13,0,87.73,316.28833333333336,-10.396666666666667,991.2843333333334,4.619368972644196,12.004241840095823,0.6623333333333333,72.212,166,31.273979999999998,33.400999999999996
2023,5,9,42,0,-40.977333333333334,-3.806666666666666,-5.489,980.8156666666667,8.822991609372629,8.388347915244303,2.759,48.73733333333334,129,-56.4973,36.472
2023,5,16,33,1,167.43866666666673,289.76666666666665,-31.109527976260285,961.6666666666666,6.65052022652594,6.059099266134155,5.1339999999999995,47.673333333333325,136,89.21136,41.813
2023,6,19,6,1,-29.514666666666642,-0.88,-20.17605919325312,956.6666666666666,12.142355154842162,11.365043828460939,2.971666666666667,48.346666666666664,170,-3.6987699999999997,2.8555
2023,7,3,4,1,-49.76533333333322,-1.7566666666666666,-29.244250182187972,954.0,4.574182397683549,11.255264127925686,3.2546666666666666,71.10333333333334,184,-20.19444,1.7089
