TIMESTAMP_START,TIMESTAMP_MITTE,TIMESTAMP_ENDE,kurzwEinstrahlung_300cm,kurzwAusstrahlung_300cm,Nettostrahlung_300cm,diffuseEinstrahlung_160cm,PPFDEinstrahlung_300cm,PPFDAusstrahlung_300cm,Bodenwaermefluss,Luftdruck,Lufttemperatur_40cm,Lufttemperatur_200cm,RelativeFeuchte_40cm,RelativeFeuchte_200cm,Wasserdampfdruck_200cm,Wasserdampfdefizit_200cm,Niederschlag_I_155cm,Niederschlag_II_150cm,Windgeschw_380cm,Windrichtung_380cm,Bodentemp_30cm_1,Bodentemp_30cm_2,Bodentemp_30cm_3,Bodenfeuchte_30cm_1,Bodenfeuchte_30cm_2,Bodenfeuchte_30cm_3
-,-,-,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,Wm-2,hPa,degC,degC,%,%,hPa,hPa,mm,mm,ms-1,deg,degC,degC,degC,%,%,%
2023-07-17 08:30:00,2023-07-17 08:45:00,2023-07-17 09:00:00,600.9356666666666,117.26233333333334,311.9986666666667,93.74933333333333,1168.7416666666666,91.56133333333334,63.37733333333333,990.0426666666667,21.923999999999996,21.223000000000003,60.96233333333333,54.55333333333334,13.776551738919432,11.476812074326498,0.0,0.0,1.6266666666666663,220.45730536735576,22.986666666666665,22.79733333333333,17.78,21.77866666666667,20.50766666666667,26.47933333333333
2023-07-17 09:00:00,2023-07-17 09:15:00,2023-07-17 09:30:00,617.8503333333333,119.63533333333334,334.528,130.005,1206.4423333333334,93.32866666666666,75.27333333333333,990.1196666666666,22.673333333333336,21.945999999999998,57.61766666666667,50.96866666666667,13.453121412199529,12.94176448933382,0.0,0.0,1.8010000000000002,234.43436537739947,22.91,22.746666666666666,17.740333333333332,21.773333333333337,20.5,26.466333333333335
2023-07-17 09:30:00,2023-07-17 09:45:00,2023-07-17 10:00:00,629.5546666666668,122.03666666666668,355.0226666666667,122.98066666666666,1237.9363333333333,94.88533333333334,70.94066666666667,990.1533333333333,22.358333333333334,21.933666666666667,56.562999999999995,49.46666666666667,13.046854239286901,13.32818802342247,0.0,0.0,2.1323333333333334,249.7242731836826,22.856666666666666,22.72,17.753333333333334,21.766333333333332,20.496666666666666,26.44366666666666
2023-07-17 10:00:00,2023-07-17 10:15:00,2023-07-17 10:30:00,783.0546666666668,154.96066666666667,479.9243333333333,188.45166666666668,1529.3946666666668,116.33066666666666,85.31,990.0466666666666,23.584,22.89833333333333,54.196333333333335,47.516,13.28879959740997,14.678200144592665,0.0,0.0,2.1916666666666664,244.71701065538193,22.810000000000002,22.676666666666666,17.759666666666664,21.763666666666666,20.483666666666668,26.398666666666667
2023-07-17 10:30:00,2023-07-17 10:45:00,2023-07-17 11:00:00,479.05199999999996,98.16866666666665,299.752,228.87266666666665,934.4316666666667,70.83766666666668,83.54666666666667,989.9639999999999,23.13766666666667,22.656666666666666,54.12733333333333,47.492,13.089043663046889,14.47147950516437,0.0,0.0,2.2383333333333333,262.2723473225461,22.753333333333334,22.647000000000002,17.78,21.760333333333335,20.462,26.389
2023-07-17 11:00:00,2023-07-17 11:15:00,2023-07-17 11:30:00,187.11866666666666,39.736666666666665,97.05933333333333,146.92766666666665,374.75033333333334,28.556,48.578,990.1286666666666,21.569333333333333,21.534333333333336,56.114,48.81900000000001,12.565779564375955,13.173747186225146,0.0,0.0,1.7676666666666667,268.940616651382,22.723333333333333,22.650000000000002,17.83,21.752666666666666,20.456666666666667,26.381
2023-07-17 11:30:00,2023-07-17 11:45:00,2023-07-17 12:00:00,427.67766666666665,86.73466666666667,261.20033333333333,206.17999999999998,850.3119999999999,62.672333333333334,32.02133333333333,990.16,22.10766666666667,21.932,54.90899999999999,47.68000000000001,12.574342052763988,13.798019635079946,0.0,0.0,2.309,266.1245289532274,22.709999999999997,22.63333333333333,17.857333333333333,21.742,20.451333333333334,26.37633333333333
2023-07-17 12:00:00,2023-07-17 12:15:00,2023-07-17 12:30:00,462.6213333333333,94.493,264.63100000000003,287.825,928.9096666666668,67.77533333333334,32.522,990.1793333333334,22.171999999999997,21.978666666666665,54.59566666666666,46.99100000000001,12.427948316649509,14.019559326621557,0.0,0.0,2.0613333333333337,264.57469267400097,22.72,22.613333333333333,17.956333333333333,21.75533333333333,20.458333333333332,26.350333333333328
2023-07-17 12:30:00,2023-07-17 12:45:00,2023-07-17 13:00:00,851.6066666666666,166.37300000000002,555.5733333333334,268.229,1686.9733333333334,121.16266666666665,58.88933333333333,990.0833333333334,24.945333333333334,24.04433333333333,47.928333333333335,41.946333333333335,12.569844834632772,17.396647670789488,0.0,0.0,2.6039999999999996,250.92475906510984,22.713333333333335,22.63333333333333,18.003333333333334,21.748333333333335,20.421,26.335333333333335
2023-07-17 13:00:00,2023-07-17 13:15:00,2023-07-17 13:30:00,546.636,109.53133333333331,338.5083333333333,284.6426666666667,1089.3079999999998,79.52433333333333,60.24033333333333,989.8883333333333,24.028333333333332,23.578666666666667,46.083000000000006,39.70633333333333,11.57022180674272,17.56926510989372,0.0,0.0,2.6273333333333335,258.3447749402427,22.72666666666667,22.633,18.056333333333335,21.739,20.388666666666666,26.326333333333334
